row_label_raw,row_label_full,Nhóm nợ,Nhóm nợ_1,Phân loại nợ theo phương pháp định lượng,Phân loại nợ theo phương pháp định tính,numeric__Nhóm nợ_1,numeric__Phân loại nợ theo phương pháp định lượng,numeric__Phân loại nợ theo phương pháp định tính
,,,chuẩn,"(b) Nợ gia hạn nợ lần đầu còn trong hạn, trừ khoản nợ quy định tại điểm b Khoản 2, Khoản 3 Điều 10 Thông tư 31; hoặc(c) Nợ được miễn hoặc giảm lãi do khách hàng không đủ khả năng trả lãi đầy đủ theo hợp đồng tín dụng; hoặc(d) Nợ thuộc một trong các trường hợp sau đây chưa thu hồi được trong thời gian dưới 30 ngày kể từ ngày có quyết định thu hồi:▪ Khoản nợ vi phạm quy định tại các khoản 1, 3, 4, 5, 6 Điều 134 Luật các tổ chức tín dụng; hoặc▪ Khoản nợ vi phạm quy định tại các khoản 1, 2, 3, 4 Điều 135 Luật các tổ chức tín dụng; hoặc▪ Khoản nợ vi phạm quy định tại các khoản 1, 2, 5, 9 Điều 136 Luật các tổ chức tín dụng.(e) Nợ trong thời hạn thu hồi theo kết luận thanh tra, kiểm tra; hoặc(f) Nợ phải thu hồi theo quyết định thu hồi nợ trước hạn do khách hàng vi phạm thỏa thuận chưa thu hồi được trong thời gian dưới 30 ngày kể từ ngày có quyết định thu hồi; hoặc(g) Nợ được phân loại vào nhóm 3 theo quy định tại Khoản 2, Khoản 3 Điều 10 Thông tư 31; hoặc(h) Nợ được phân loại vào nhóm 3 theo quy định tại Khoản 4 Điều 8 Thông tư 31.","khả năng thu hồi đầy đủ cả nợ gốc và lãi khi đến hạn, có khả năng tổn thất.",,,
4,4,4,Nợ nghi ngờ,"(a) Nợ quá hạn từ 181 ngày đến 360 ngày; hoặc(b) Nợ cơ cấu lại thời hạn trả nợ lần đầu quá hạn đến 90 ngày theo thời hạn trả nợ được cơ cấu lại lần đầu; hoặc(c) Nợ cơ cấu lại thời hạn trả nợ lần thứ hai còn trong hạn, trừ khoản nợ quy định tại điểm b Khoản 2, Khoản 3 Điều 10 Thông tư 31; hoặc(d) Nợ quy định tại điểm (d) của nợ Nhóm 3 chưa thu hồi được trong thời gian từ 30 ngày đến 60 ngày kể từ ngày có quyết định thu hồi; hoặc(e) Nợ phải thu hồi theo kết luận thanh tra, kiểm tranhưng quá thời hạn thu hồi theo kết luận thanh tra, kiểm tra đến 60 ngày mà chưa thu hồi được; hoặc(f) Nợ phải thu hồi theo quyết định thu hồi nợ trước hạn do khách hàng vi phạm thỏa thuận chưa thu hồi được trong thời gian từ 30 ngày đến 60 ngày kể từ ngày có quyết định thu hồi; hoặc(g) Nợ được phân loại vào nhóm 4 theo quy định tại Khoản 2, Khoản 3 Điều 10 Thông tư 31; hoặc(h) Nợ được phân loại vào nhóm 4 theo quy định tại Khoản 4 Điều 8 Thông tư 31.",Các khoản nợ được đánh giá là có khả năng tổn thất cao.,,,
5,5,5,Nợ có khả năng mất,(a) Nợ quá hạn trên 360 ngày; hoặc(b) Nợ cơ cấu lại thời hạn trả nợ lần đầu quá hạn từ 91,Các khoản nợ được đánh giá là không còn,,,
