row_label_raw,row_label_full,col_0,2024Triệu VND,2023Triệu VND(Điều chỉnh lại),2023Triệu VND(Như đã trình bày trước đây),numeric__2024Triệu VND,numeric__2023Triệu VND(Điều chỉnh lại),numeric__2023Triệu VND(Như đã trình bày trước đây)
Lợi nhuận thuần phân bổ cho các cốđông của Ngân hàng,Lợi nhuận thuần phân bổ cho các cốđông của Ngân hàng,Lợi nhuận thuần phân bổ cho các cốđông của Ngân hàng,25.140.037,21.504.918,21.504.918,25140037.0,21504918.0,21504918.0
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",(3.041.449),(2.614.380),(2.614.380),-3041449.0,-2614380.0,-2614380.0
Lợi nhuận dùng để tính lãi cơ bản trêncổ phiếu,Lợi nhuận dùng để tính lãi cơ bản trêncổ phiếu,Lợi nhuận dùng để tính lãi cơ bản trêncổ phiếu,22.098.588,18.890.538,18.890.538,22098588.0,18890538.0,18890538.0
Bình quân gia quyền của số cổ phiếu phổ thông đang lưu hành (cổ phiếu) (*),Bình quân gia quyền của số cổ phiếu phổ thông đang lưu hành (cổ phiếu) (*),Bình quân gia quyền của số cổ phiếu phổ thông đang lưu hành (cổ phiếu) (*),6.897.515.268,6.897.515.268,5.700.435.900,6897515268.0,6897515268.0,5700435900.0
Lãi cơ bản trên mỗi cổ phiếu(VND/cổ phiếu),Lãi cơ bản trên mỗi cổ phiếu(VND/cổ phiếu),Lãi cơ bản trên mỗi cổ phiếu(VND/cổ phiếu),3.204,2.739,3.314,3204.0,2739.0,3314.0
