row_label_raw,row_label_full,Nhóm nợ,Nhóm nợ_1,Phân loại nợ theo phương pháp định lượng,Phân loại nợ theo phương pháp định tính,numeric__Nhóm nợ_1,numeric__Phân loại nợ theo phương pháp định lượng,numeric__Phân loại nợ theo phương pháp định tính
1,1,1,Nợ đủ tiêu chuẩn,(a) Nợ trong hạn và được đánh giá là có khả năng thu hồi đầy đủ cả nợ gốc và lãi đúng hạn; hoặc(b) Nợ quá hạn dưới 10 ngày và được đánh giá là có khả năng thu hồi đầy đủ nợ gốc và lãi bị quá hạn và thu hồi đầy đủ nợ gốc và lãi còn lại đúng thời hạn; hoặc(c) Nợ được phân loại vào nhóm 1 theo quy định tại Khoản 2 Điều 10 Thông tư 31.,Các khoản nợ được đánh giá là có khả năng thu hồi đầy đủ cả nợ gốc và lãi đúng hạn.,,,
2,2,2,Nợ cần chú ý,"(a) Nợ quá hạn từ 10 ngày đến 90 ngày; hoặc(b) Nợ điều chỉnh kỳ hạn trả nợ lần đầu còn trong hạn, trừ khoản nợ quy định tại điểm b Khoản 2, Khoản 3 Điều 10 Thông tư 31; hoặc(c) Nợ được phân loại vào nhóm 2 theo quy định tại Khoản 2, Khoản 3 Điều 10 Thông tư 31.",Các khoản nợ được đánh giá là có khả năng thu hồi đầy đủ cả nợ gốc và lãi nhưng có dấu hiệu khách hàng suy giảm khả năng trả nợ.,,,
3,3,3,Nợ dưới tiêu,(a) Nợ quá hạn từ 91 ngày đến 180 ngày; hoặc,Các khoản nợ được đánh giá là không có,,,
