row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dưvốn cố phầnTriệu VND,Vốn khácTriệu VND,Quỹdự phòngtài chínhTriệu VND,Quỹ dự trữbố sungvốn điều lệTriệu VND,Quỹđầu tưphát triểnTriệu VND,Quỹ khACThuộc Vốnchủ sởhửuTriệu VND,Chênh lệchtỷ giáhối đoáiTriệu VND,Lợi nhuậnchưaphân phốiTriệu VND,Lợi íchcổ đôngkhôngkiểm soátTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thặng dưvốn cố phầnTriệu VND,numeric__Vốn khácTriệu VND,numeric__Quỹdự phòngtài chínhTriệu VND,numeric__Quỹ dự trữbố sungvốn điều lệTriệu VND,numeric__Quỹđầu tưphát triểnTriệu VND,numeric__Quỹ khACThuộc Vốnchủ sởhửuTriệu VND,numeric__Chênh lệchtỷ giáhối đoáiTriệu VND,numeric__Lợi nhuậnchưaphân phốiTriệu VND,numeric__Lợi íchcổ đôngkhôngkiểm soátTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,50.585.239,15.351.407,267.851,8.016.178,4.159.002,221.686,50.797,(760.404),21.503.511,4.723.238,104.118.505,50585239.0,15351407.0,267851.0,8016178.0,4159002.0,221686.0,50797.0,-760404.0,21503511.0,4723238.0,104118505.0
Tăng vốn từ trả cổ tức bằng cố phiếu,Tăng vốn từ trả cổ tức bằng cố phiếu,Tăng vốn từ trả cổ tức bằng cố phiếu,6.419.120,-,-,-,-,-,-,-,(6.419.120),-,-,6419120.0,,,,,,,,-6419120.0,,
BSC tăng vốn trong năm,BSC tăng vốn trong năm,BSC tăng vốn trong năm,-,-,78.067,(28.199),(28.199),-,-,-,(21.454),(215),-,,,78067.0,-28199.0,-28199.0,,,,-21454.0,-215.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,,-,-,-,-,-,21.504.918,472.223,21.977.141,,,,,,,,,21504918.0,472223.0,21977141.0
"Trích quỹ, tạm trích quỹ năm 2023","Trích quỹ, tạm trích quỹ năm 2023","Trích quỹ, tạm trích quỹ năm 2023",-,-,-,2.145.356,1.085.481,32.304,8.856,-,(3.271.997),-,-,,,,2145356.0,1085481.0,32304.0,8856.0,,-3271997.0,,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,,(1.164),-,-,-,-,,-,(1.164),,,,-1164.0,,,,,,,-1164.0
"Tạm trích quỹ khen thưởng, phúc lợi năm 2023","Tạm trích quỹ khen thưởng, phúc lợi năm 2023","Tạm trích quỹ khen thưởng, phúc lợi năm 2023",-,-,-,-,-,-,-,-,(2.614.380),-,(2.614.380),,,,,,,,,-2614380.0,,-2614380.0
"Trích bổ sung quỹ khen thưởng, phúc lợi các năm trước","Trích bổ sung quỹ khen thưởng, phúc lợi các năm trước","Trích bổ sung quỹ khen thưởng, phúc lợi các năm trước",-,-,-,-,-,-,-,-,(350.528),(52.684),(403.212),,,,,,,,,-350528.0,-52684.0,-403212.0
Công ty con trả cổ tức,Công ty con trả cổ tức,Công ty con trả cổ tức,-,-,-,-,-,-,-,-,-,(119.694),(119.694),,,,,,,,,,-119694.0,-119694.0
Chênh lệch tỷ giá do quy đổi đơn vị tiền tệ báo cáo,Chênh lệch tỷ giá do quy đổi đơn vị tiền tệ báo cáo,Chênh lệch tỷ giá do quy đổi đơn vị tiền tệ báo cáo,-,-,-,-,-,-,-,(43.143),(257),(70.177),(113.577),,,,,,,,-43143.0,-257.0,-70177.0,-113577.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,-,9.613,-,-,827,-,(678),-,45,13.463,23.270,,9613.0,,,827.0,,-678.0,,45.0,13463.0,23270.0
Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,57.004.359,15.361.020,345.918,10.132.171,5.217.111,253.990,58.975,(803.547),30.330.738,4.966.154,122.866.889,57004359.0,15361020.0,345918.0,10132171.0,5217111.0,253990.0,58975.0,-803547.0,30330738.0,4966154.0,122866889.0
