row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2024 Triệu VND,31/12/2023 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2024 Triệu VND,numeric__31/12/2023 Triệu VND
1.,1.,1.,Bảo lãnh vay vốn,40,7.003.470,6.753.573,,40.0,7003470.0,6753573.0
2.,2.,2.,Cam kết giao dịch hối đoái,,133.387.287,1.433.870,,,133387287.0,1433870.0
a.,a.,a.,Cam kết mua ngoại tệ,,2.333.456,846.669,,,2333456.0,846669.0
b.,b.,b.,Cam kết bán ngoại tệ,,2.666.274,587.201,,,2666274.0,587201.0
c.,c.,c.,Cam kết giao dịch hoán đối đến,,64.605.066,-,,,64605066.0,
d.,d.,d.,Cam kết giao dịch hoán đối đi,,63.782.491,-,,,63782491.0,
3.,3.,3.,Cam kết trong nghiệp vụ L/C,40,62.266.136,83.174.919,,40.0,62266136.0,83174919.0
4.,4.,4.,Bảo lãnh khác,40,199.424.464,199.816.234,,40.0,199424464.0,199816234.0
5.,5.,5.,Cam kết khác,40,14.564.280,24.005.803,,40.0,14564280.0,24005803.0
6.,6.,6.,Lãi cho vay và phí phải thu chưa thu được,41,21.503.201,17.967.080,,41.0,21503201.0,17967080.0
7.,7.,7.,Nợ khó đòi đã xử lý,42,254.094.151,221.408.245,,42.0,254094151.0,221408245.0
a.,a.,a.,Nợ gốc của các khoản nợ khó đòi đã xử lý,,130.056.395,113.065.497,,,130056395.0,113065497.0
b.,b.,b.,Nợ lãi của các khoản nợ khó đòi đã xử lý,,124.037.756,108.342.748,,,124037756.0,108342748.0
8.,8.,8.,Tài sản và chứng từ khác,43,66.301.195,79.744.369,,43.0,66301195.0,79744369.0
