row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2024 Triệu VND,31/12/2023 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2024 Triệu VND,numeric__31/12/2023 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I.,A > I.,I.,"Tiền mặt, vàng bạc, đá quý",6,10.772.890,11.029.204,,6.0,10772890.0,11029204.0
II.,A > II.,II.,Tiền gửi tại Ngân hàng Trung ương,7,92.341.029,51.615.657,,7.0,92341029.0,51615657.0
III.,A > III.,III.,Tiền gửi và cho vay các TCTD khác,8,279.971.515,211.812.201,,8.0,279971515.0,211812201.0
1.,A > 1.,1.,Tiền gửi tại các TCTD khác,,268.366.137,197.333.127,,,268366137.0,197333127.0
2.,A > 2.,2.,Cho vay các TCTD khác,,11.686.232,14.564.284,,,11686232.0,14564284.0
3.,A > 3.,3.,Dự phòng rủi ro tiền gửi và cho vay các TCTD khác,,(80.854),(85.210),,,-80854.0,-85210.0
IV.,A > IV.,IV.,Chứng khoán kinh doanh,9,12.734.060,6.972.474,,9.0,12734060.0,6972474.0
1.,A > 1.,1.,Chứng khoán kinh doanh,,12.773.340,7.003.656,,,12773340.0,7003656.0
2.,A > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(39.280),(31.182),,,-39280.0,-31182.0
V.,A > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,10,663.256,-,,10.0,663256.0,
VI.,A > VI.,VI.,Cho vay khách hàng,,2.018.043.649,1.737.195.822,,,2018043649.0,1737195822.0
1.,A > 1.,1.,Cho vay khách hàng,11,2.056.082.420,1.777.664.882,,11.0,2056082420.0,1777664882.0
2.,A > 2.,2.,Dự phòng rủi ro cho vay khách hàng,12,(38.038.771),(40.469.060),,12.0,-38038771.0,-40469060.0
VII.,A > VII.,VII.,Chứng khoán đầu tư,13,277.838.108,222.393.123,,13.0,277838108.0,222393123.0
1.,A > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,13.1,157.918.828,127.572.432,,131.0,157918828.0,127572432.0
2.,A > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,13.2,121.120.044,95.722.385,,132.0,121120044.0,95722385.0
3.,A > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,13.4,(1.200.764),(901.694),,134.0,-1200764.0,-901694.0
VIII.,A > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",14,3.423.594,3.113.075,,14.0,3423594.0,3113075.0
1.,A > 1.,1.,Vốn góp liên doanh,14.1,2.608.671,2.314.557,,141.0,2608671.0,2314557.0
2.,A > 2.,2.,Đầu tư vào công ty liên kết,14.2,739.841,697.727,,142.0,739841.0,697727.0
3.,A > 3.,3.,"Góp vốn, đầu tư dài hạn khác",,182.914,214.888,,,182914.0,214888.0
4.,A > 4.,4.,Dự phòng giảm giá đầu tư dài hạn,14.3,(107.832),(114.097),,143.0,-107832.0,-114097.0
IX.,A > IX.,IX.,Tài sản cố định,15,12.119.817,11.096.141,,15.0,12119817.0,11096141.0
1.,A > 1.,1.,Tài sản cố định hữu hình,15.1,6.799.205,6.401.362,,151.0,6799205.0,6401362.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,16.745.119,15.608.346,,,16745119.0,15608346.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(9.945.914),(9.206.984),,,-9945914.0,-9206984.0
2.,A > 2.,2.,Tài sản cố định vô hình,15.2,5.320.612,4.694.779,,152.0,5320612.0,4694779.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,8.103.328,7.153.285,,,8103328.0,7153285.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(2.782.716),(2.458.506),,,-2782716.0,-2458506.0
X.,A > X.,X.,Tài sản Có khác,16,52.883.936,45.641.031,,16.0,52883936.0,45641031.0
1.,A > 1.,1.,Các khoản phải thu,,25.770.364,25.922.204,,,25770364.0,25922204.0
2.,A > 2.,2.,"Các khoản lãi, phí phải thu",,23.150.598,15.552.516,,,23150598.0,15552516.0
3.,A > 3.,3.,Tài sản thuế thu nhập doanh nghiệp hoãn lại,,27.056,36.982,,,27056.0,36982.0
4.,A > 4.,4.,Tài sản Có khác,,4.239.918,4.451.584,,,4239918.0,4451584.0
5.,A > 5.,5.,Dự phòng rủi ro cho các tài sản Có nội bằng khác,,(304.000),(322.255),,,-304000.0,-322255.0
,,,TỔNG TÀI SẢN,,2.760.791.854,2.300.868.728,,,2760791854.0,2300868728.0
