row_label_raw,row_label_full,STT,Tên công ty,Quyết định thành lập/Giấy phép hoạt động số,Lĩnh vực hoạt động,Tỷ lệ sở hữu của Ngân hàng,Tỷ lệ sở hữu của Ngân hàng_1,numeric__Tên công ty,numeric__Quyết định thành lập/Giấy phép hoạt động số,numeric__Lĩnh vực hoạt động,numeric__Tỷ lệ sở hữu của Ngân hàng,numeric__Tỷ lệ sở hữu của Ngân hàng_1
STT,STT,STT,Tên công ty,Quyết định thành lập/Giấy phép hoạt động số,Lĩnh vực hoạt động,31/12/2024,31/12/2023,,,,,
1,STT > 1,1,"Ngân hàng Liên doanh Việt Nga (""VRB"")",Giấy phép thành lập và hoạt động số 11/GP-NHNN ngày 30 tháng 6 năm 2006 của Ngân hàng Nhà nước và được thay thế bởi Giắp phép thành lập và hoạt động số 88/GP ngày 18 tháng 9 năm 2018,Ngân hàng,"49,50%","50,00%",,,,0.495,0.5
2,STT > 2,2,"Công ty Liên doanh Tháp BIDV (""BIDV Tower"")",2523/GP ngày 2 tháng 11 năm 2005 của Bộ Kế hoạch và Đầu tư,"Xây dựng, vận hành và quản lý khối văn phòng làm việc","55,00%","55,00%",,,,0.55,0.55
3,STT > 3,3,"Công ty TNHH Bảo hiểm Nhân thọ BIDV Metlife (""BIDV Metlife"") (*)",72/GPDC5-KDBH ngày 28 tháng 8 năm 2024 của Bộ Tài chính,Bảo hiểm,"37,25%","37,25%",,,,0.3725,0.3725
