row_label_raw,row_label_full,Năm 2024,Ngân hàngTriệu VND,Cho thuê > tài chínhTriệu VND,Cho thuê > Bảo hiểmTriệu VND,Chứng > khoánTriệu VND,Chứng > KhácTriệu VND,Điều chỉnh > hợp nhấtTriệu VND,Điều chỉnh > Tổng cộngTriệu VND,numeric__Ngân hàngTriệu VND,numeric__Cho thuê > tài chínhTriệu VND,numeric__Cho thuê > Bảo hiểmTriệu VND,numeric__Chứng > khoánTriệu VND,numeric__Chứng > KhácTriệu VND,numeric__Điều chỉnh > hợp nhấtTriệu VND,numeric__Điều chỉnh > Tổng cộngTriệu VND
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,56.982.648,200.719,321.173,478.836,4.739,19.461,58.007.576,56982648.0,200719.0,321173.0,478836.0,4739.0,19461.0,58007576.0
-Từ các giao dịch với khách hàng bên ngoài,-Từ các giao dịch với khách hàng bên ngoài,-Từ các giao dịch với khách hàng bên ngoài,57.002.109,200.719,321.173,478.836,4.739,-,58.007.576,57002109.0,200719.0,321173.0,478836.0,4739.0,,58007576.0
-Từ các giao dịch với các bộ phận khác,-Từ các giao dịch với các bộ phận khác,-Từ các giao dịch với các bộ phận khác,(19.461),-,-,-,-,19.461,-,-19461.0,,,,,19461.0,
Lãi/(lỗ) thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động dịch vụ,5.770.090,(619),1.245.585,151.739,19.042,(111.392),7.074.445,5770090.0,-619.0,1245585.0,151739.0,19042.0,-111392.0,7074445.0
-Từ các giao dịch với khách hàng bên ngoài,-Từ các giao dịch với khách hàng bên ngoài,-Từ các giao dịch với khách hàng bên ngoài,5.574.016,(619),1.301.036,180.970,19.042,-,7.074.445,5574016.0,-619.0,1301036.0,180970.0,19042.0,,7074445.0
-Từ các giao dịch với các bộ phận khác,-Từ các giao dịch với các bộ phận khác,-Từ các giao dịch với các bộ phận khác,196.074,-,(55.451),(29.231),-,(111.392),-,196074.0,,-55451.0,-29231.0,,-111392.0,
Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,5.363.472,672,(2.886),243,-,(2),5.361.499,5363472.0,672.0,-2886.0,243.0,,-2.0,5361499.0
Lãi thuần từ mua bán chứng khoán,Lãi thuần từ mua bán chứng khoán,Lãi thuần từ mua bán chứng khoán,4.968.567,-,46.452,114.444,-,55.380,5.184.843,4968567.0,,46452.0,114444.0,,55380.0,5184843.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,5.031.571,9.573,538,1.797,1.044,(57.762),4.986.761,5031571.0,9573.0,538.0,1797.0,1044.0,-57762.0,4986761.0
"Lãi thuần từ góp vốn, mua cố phần","Lãi thuần từ góp vốn, mua cố phần","Lãi thuần từ góp vốn, mua cố phần",207.176,-,16.134,8.265,-,214.167,445.742,207176.0,,16134.0,8265.0,,214167.0,445742.0
