row_label_raw,row_label_full,Bên liên quan > Công ty Khánh Hà,Mối quan hệ > Công ty con,Số dư cho vay VND > 17.620.000.000,Lãi suất %/năm > 8%/năm,Ngày đáo hạn > Gốc và lãi vay được trả trong giai đoạn từ tháng 3 năm 2024 đến tháng 11 năm 2025,Hình thức đảm bảo > Tín chấp,numeric__Mối quan hệ > Công ty con,numeric__Số dư cho vay VND > 17.620.000.000,numeric__Lãi suất %/năm > 8%/năm,numeric__Ngày đáo hạn > Gốc và lãi vay được trả trong giai đoạn từ tháng 3 năm 2024 đến tháng 11 năm 2025,numeric__Hình thức đảm bảo > Tín chấp
,,,,17.620.000.000,,,,,17620000000.0,,,
Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2022 (Thuyết minh số 19):,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2022 (Thuyết minh số 19):,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2022 (Thuyết minh số 19):,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2022 (Thuyết minh số 19):,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2022 (Thuyết minh số 19):,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2022 (Thuyết minh số 19):,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2022 (Thuyết minh số 19):,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2022 (Thuyết minh số 19):,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Số dư cho vay VND,Lãi suất %/năm,Ngày đáo hạn,Hình thức đảm bảo,,,,,
Công ty Khánh Hà,Bên liên quan > Công ty Khánh Hà,Công ty Khánh Hà,Công ty con,1.980.000.000,8%/năm,Gốc và lãi vay được trả trong giai đoạn từ tháng 10 đến tháng 12 năm 2023,Tín chấp,,1980000000.0,,,
,,,,1.980.000.000,,,,,1980000000.0,,,
Chi tiết các khoản cho vay dài hạn tại ngày 31 tháng 12 năm 2021:,Chi tiết các khoản cho vay dài hạn tại ngày 31 tháng 12 năm 2021:,Chi tiết các khoản cho vay dài hạn tại ngày 31 tháng 12 năm 2021:,Chi tiết các khoản cho vay dài hạn tại ngày 31 tháng 12 năm 2021:,Chi tiết các khoản cho vay dài hạn tại ngày 31 tháng 12 năm 2021:,Chi tiết các khoản cho vay dài hạn tại ngày 31 tháng 12 năm 2021:,Chi tiết các khoản cho vay dài hạn tại ngày 31 tháng 12 năm 2021:,Chi tiết các khoản cho vay dài hạn tại ngày 31 tháng 12 năm 2021:,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Số dư cho vay VND,Lãi suất %/năm,Ngày đáo hạn,Hình thức đảm bảo,,,,,
Công ty Khánh Hà,Bên liên quan > Công ty Khánh Hà,Công ty Khánh Hà,Công ty con,10.900.000.000,8%/năm,Gốc và lãi vay được trả một lần vào ngày 26 tháng 6 năm 2023,Tín chấp,,10900000000.0,,,
,,,,10.900.000.000,,,,,10900000000.0,,,
