row_label_raw,row_label_full,STT > 1,Tên đơn vị > Công ty Agrita – Quảng Nam,Số cuối năm > Số lượng cổ phần > 99.729.000,Số cuối năm > Giá trị ghi sổ > 1.190.305.295.099,Số cuối năm > Giá trị hợp lý > (*),Số cuối năm > Tỷ lệ vốn nằm giữ trực tiếp > 95%,Số đầu năm > Số lượng cổ phần > 99.729.000,Số đầu năm > Giá trị ghi sổ > 1.190.305.295.099,Số đầu năm > Giá trị hợp lý > (*),Đơn vị tính: VND > Tỷ lệ vốn nằm giữ trực tiếp > 95%,numeric__Tên đơn vị > Công ty Agrita – Quảng Nam,numeric__Số cuối năm > Số lượng cổ phần > 99.729.000,numeric__Số cuối năm > Giá trị ghi sổ > 1.190.305.295.099,numeric__Số cuối năm > Giá trị hợp lý > (*),numeric__Số cuối năm > Tỷ lệ vốn nằm giữ trực tiếp > 95%,numeric__Số đầu năm > Số lượng cổ phần > 99.729.000,numeric__Số đầu năm > Giá trị ghi sổ > 1.190.305.295.099,numeric__Số đầu năm > Giá trị hợp lý > (*),numeric__Đơn vị tính: VND > Tỷ lệ vốn nằm giữ trực tiếp > 95%
2,2,2,Công ty Năng lượng Hà Đô,112.460.000,1.124.600.000.000,(*),100%,112.460.000,1.124.600.000.000,(*),100%,,112460000.0,1124600000000.0,,1.0,112460000.0,1124600000000.0,,1.0
3,3,3,Công ty Bình An Riverside (i),61.782.000,628.299.000.000,(*),"99,97%",61.182.000,592.299.000.000,(*),"99,00%",,61782000.0,628299000000.0,,0.9997,61182000.0,592299000000.0,,0.99
4,4,4,Công ty Minh Long,32.414.780,417.218.779.435,(*),73%,32.414.780,417.218.779.435,(*),73%,,32414780.0,417218779435.0,,0.73,32414780.0,417218779435.0,,0.73
5,5,5,Công ty Za Hưng (ii),63.210.546,371.629.000.000,(*),52%,57.461.621,371.629.000.000,(*),52%,,63210546.0,371629000000.0,,0.52,57461621.0,371629000000.0,,0.52
6,6,6,Công ty Quốc tế Hà Đô (iii),(**),367.428.647.832,(*),100%,(**),356.563.049.362,(*),100%,,,367428647832.0,,1.0,,356563049362.0,,1.0
7,7,7,Công ty 756 Sài Gòn,28.350.000,283.500.000.000,(*),89%,28.350.000,283.500.000.000,(*),89%,,28350000.0,283500000000.0,,0.89,28350000.0,283500000000.0,,0.89
8,8,8,Công ty Thiết Bj Giáo Dục 1,42.319.073,662.996.747.322,(*),"99,93%",42.319.074,662.996.747.322,(*),"99,93%",,42319073.0,662996747322.0,,0.9993000000000001,42319074.0,662996747322.0,,0.9993000000000001
9,9,9,Công ty Khánh Hà,18.439.089,196.842.885.000,(*),"70,92%",18.439.089,196.842.885.000,(*),"70,92%",,18439089.0,196842885000.0,,0.7092,18439089.0,196842885000.0,,0.7092
10,10,10,Công ty Sông Tranh 4,15.300.000,157.994.654.400,(*),34%,15.300.000,157.994.654.400,(*),34%,,15300000.0,157994654400.0,,0.34,15300000.0,157994654400.0,,0.34
11,11,11,Công ty Quản lý Hà Đô,1.999.000,13.372.043.169,(*),"99,95%",1.999.000,13.372.043.169,(*),"99,95%",,1999000.0,13372043169.0,,0.9995,1999000.0,13372043169.0,,0.9995
12,12,12,Công ty Hà Đô Ninh Thuận (iv),(**),2.148.000.000,(*),100%,(**),2.148.000.000,(*),100%,,,2148000000.0,,1.0,,2148000000.0,,1.0
,,,TỔNG CỘNG,,5.416.335.052.257,,,,5.369.469.453.787,,,,,5416335052257.0,,,,5369469453787.0,,
,,,Dự phòng đầu tư vào công ty con,,12.815.841.167,,,,10.329.842.103,,,,,12815841167.0,,,,10329842103.0,,
