row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp/cántrừ trong năm,Số đã nộptrong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp/cántrừ trong năm,numeric__Số đã nộptrong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,733.627.071,32.425.978.192,(30.605.957.896),2.553.647.367,733627071.0,32425978192.0,-30605957896.0,2553647367.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,520.873.498,12.402.723.650,(12.343.113.602),580.483.546,520873498.0,12402723650.0,-12343113602.0,580483546.0
Thuế TNDN,Phải nộp > Thuế TNDN,Thuế TNDN,66.769.290.379,124.366.322.684,(162.574.146.850),28.561.466.213,66769290379.0,124366322684.0,-162574146850.0,28561466213.0
Thuế khác,Phải nộp > Thuế khác,Thuế khác,58.394.878,562.084.987,(608.382.329),12.097.536,58394878.0,562084987.0,-608382329.0,12097536.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,68.082.185.826,169.757.109.513,(206.131.600.677),31.707.694.662,68082185826.0,169757109513.0,-206131600677.0,31707694662.0
,,,Số đầu năm,Số phải thu trong năm,Số đã cán trừtrong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,14.556.691.155,41.925.549.582,(44.472.747.991),12.009.492.746,14556691155.0,41925549582.0,-44472747991.0,12009492746.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,68.109.286,-,68.109.286,,68109286.0,,68109286.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,14.556.691.155,41.993.658.868,(44.472.747.991),12.077.602.032,14556691155.0,41993658868.0,-44472747991.0,12077602032.0
