row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bị văn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị văn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,244.421.955.098,85.056.611.786,9.328.639.954,4.710.845.471,343.518.052.309,244421955098.0,85056611786.0,9328639954.0,4710845471.0,343518052309.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,244.421.955.098,85.056.611.786,9.328.639.954,4.710.845.471,343.518.052.309,244421955098.0,85056611786.0,9328639954.0,4710845471.0,343518052309.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,10.886.973.053,87.740.736,6.290.199.964,2.367.983.653,19.632.897.406,10886973053.0,87740736.0,6290199964.0,2367983653.0,19632897406.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,48.232.004.452,36.448.074.498,7.524.068.138,3.569.605.316,95.773.752.404,48232004452.0,36448074498.0,7524068138.0,3569605316.0,95773752404.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,7.848.255.141,7.324.330.240,344.210.674,431.586.000,15.948.382.055,7848255141.0,7324330240.0,344210674.0,431586000.0,15948382055.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,56.080.259.593,43.772.404.738,7.868.278.812,4.001.191.316,111.722.134.459,56080259593.0,43772404738.0,7868278812.0,4001191316.0,111722134459.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,196.189.950.646,48.608.537.288,1.804.571.816,1.141.240.155,247.744.299.905,196189950646.0,48608537288.0,1804571816.0,1141240155.0,247744299905.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,188.341.695.505,41.284.207.048,1.460.361.142,709.654.155,231.795.917.850,188341695505.0,41284207048.0,1460361142.0,709654155.0,231795917850.0
