row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong kỳ > Tăng,Số phát sinh trong kỳ > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong kỳ > Tăng,numeric__Số phát sinh trong kỳ > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng(Thuyết minh số 18.1),Vay ngắn hạn > Vay ngân hàng(Thuyết minh số 18.1),Vay ngân hàng(Thuyết minh số 18.1),472.270.946.760,472.270.946.760,38.101.631.925,(472.270.946.760),38.101.631.925,38.101.631.925,472270946760.0,472270946760.0,38101631925.0,-472270946760.0,38101631925.0,38101631925.0
Vay đối tượng khác(Thuyết minh số 18.2),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh số 18.2),Vay đối tượng khác(Thuyết minh số 18.2),65.189.985.483,65.189.985.483,11.846.484.722,(13.985.610.378),63.050.859.827,63.050.859.827,65189985483.0,65189985483.0,11846484722.0,-13985610378.0,63050859827.0,63050859827.0
Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 18.1),Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 18.1),Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 18.1),43.615.336.632,43.615.336.632,206.434.640.889,(43.615.336.632),206.434.640.889,206.434.640.889,43615336632.0,43615336632.0,206434640889.0,-43615336632.0,206434640889.0,206434640889.0
Vay các bên liên quan dài hạn đến hạn trả(Thuyết minh số 27.3),Vay ngắn hạn > Vay các bên liên quan dài hạn đến hạn trả(Thuyết minh số 27.3),Vay các bên liên quan dài hạn đến hạn trả(Thuyết minh số 27.3),51.950.000.000,51.950.000.000,187.046.837.677,(51.450.000.000),187.546.837.677,187.546.837.677,51950000000.0,51950000000.0,187046837677.0,-51450000000.0,187546837677.0,187546837677.0
Trái phiếu dài hạn đến hạn trả(Thuyết minh số 18.3),Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả(Thuyết minh số 18.3),Trái phiếu dài hạn đến hạn trả(Thuyết minh số 18.3),482.736.488.993,482.736.488.993,211.770.037.033,(484.600.000.000),209.906.526.026,209.906.526.026,482736488993.0,482736488993.0,211770037033.0,-484600000000.0,209906526026.0,209906526026.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.115.762.757.868,1.115.762.757.868,655.199.632.246,(1.065.921.893.770),705.040.496.344,705.040.496.344,1115762757868.0,1115762757868.0,655199632246.0,-1065921893770.0,705040496344.0,705040496344.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 18.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 18.1),Vay ngân hàng(Thuyết minh số 18.1),341.959.275.355,341.959.275.355,90.321.375.436,(301.434.640.888),130.846.009.903,130.846.009.903,341959275355.0,341959275355.0,90321375436.0,-301434640888.0,130846009903.0,130846009903.0
Vay các bên liên quan(Thuyết minh số 27.3),Vay dài hạn > Vay các bên liên quan(Thuyết minh số 27.3),Vay các bên liên quan(Thuyết minh số 27.3),229.546.837.677,229.546.837.677,1.209.000.000.000,(457.046.837.677),981.500.000.000,981.500.000.000,229546837677.0,229546837677.0,1209000000000.0,-457046837677.0,981500000000.0,981500000000.0
Trái phiếu(Thuyết minh số 18.3),Vay dài hạn > Trái phiếu(Thuyết minh số 18.3),Trái phiếu(Thuyết minh số 18.3),208.355.707.845,208.355.707.845,1.550.818.181,(209.906.526.026),-,-,208355707845.0,208355707845.0,1550818181.0,-209906526026.0,,
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,779.861.820.877,779.861.820.877,1.300.872.193.617,(968.388.004.591),1.112.346.009.903,1.112.346.009.903,779861820877.0,779861820877.0,1300872193617.0,-968388004591.0,1112346009903.0,1112346009903.0
