row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1) > Công ty Hà Đô Thuận Nam,Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1) > Công ty con,Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1) > Phải thu cung cấp dịch vụ xây lắp > Phải thu phí quản lý,Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1) > 8.280.905.359 > 2.488.011.041,Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1) > 21.684.828.262 > 292.049.052,numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1) > Công ty con,numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1) > Phải thu cung cấp dịch vụ xây lắp > Phải thu phí quản lý,numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1) > 8.280.905.359 > 2.488.011.041,numeric__Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1) > 21.684.828.262 > 292.049.052
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Phải thu phí tư vấn,670.268.520,1.429.089.324,,,670268520.0,1429089324.0
Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty con,Phải thu phí quản lý,8.098.055.854,5.110.892.354,,,8098055854.0,5110892354.0
Công ty Quốc tế Hà Đô,Công ty Quốc tế Hà Đô,Công ty Quốc tế Hà Đô,Công ty con,Phải thu phí quản lý,5.447.390.528,5.394.218.953,,,5447390528.0,5394218953.0
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty chung thành viên HĐQT (đến ngày 16 tháng 9 năm 2022),Phải thu cung cấp dịch vụ cho thuê,-,458.939.376,,,,458939376.0
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty chung thành viên HĐQT (đến ngày 16 tháng 9 năm 2022),Phải thu phí quản lý,-,739.793.735,,,,739793735.0
Công ty Za Hưng,Công ty Za Hưng,Công ty Za Hưng,Công ty con,Phải thu phí quản lý,2.098.296.241,2.105.488.789,,,2098296241.0,2105488789.0
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Phải thu phí quản lý,4.204.089.533,1.940.094.466,,,4204089533.0,1940094466.0
Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,Công ty con,Phải thu phí quản lý,5.643.697.746,2.368.653.800,,,5643697746.0,2368653800.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Phải thu cung cấp dịch vụ xây lắp,1.908.857.808,-,,,1908857808.0,
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Phải thu phí tư vấn,1.915.602.837,-,,,1915602837.0,
Các công ty con khác,Các công ty con khác,Các công ty con khác,Công ty con,Phải thu phí quản lý,1.571.610.876,1.063.821.834,,,1571610876.0,1063821834.0
Chu Tuấn Anh,Chu Tuấn Anh,Chu Tuấn Anh,Bên liên quan khác,Phải thu chuyển nhượng bất động sản,468.623.000,468.623.000,,,468623000.0,468623000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,42.795.409.343,43.056.492.945,,,42795409343.0,43056492945.0
