row_label_raw,row_label_full,Công ty,Địa chỉ,Hoạt động chính,Số lượng,Tỷ lệ lợi ích (%),Quyền biểu quyết (%),Giá trị ghi sổ (VND),Giá trị hợp lý,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Số lượng,numeric__Tỷ lệ lợi ích (%),numeric__Quyền biểu quyết (%),numeric__Giá trị ghi sổ (VND),numeric__Giá trị hợp lý
Công ty TNHH,Công ty TNHH,Công ty TNHH,"Số 8, Láng Hạ, phường Thành",Đầu tư và kinh doanh,(**),50,50,130.000.000,(*),,,,50.0,50.0,130000000.0,
Hỗn hợp,Hỗn hợp,Hỗn hợp,"Công, quận Ba",Bất động sản,,,,,,,,,,,,
Dịch Vọng,Dịch Vọng,Dịch Vọng,"Đình, Hà Nội",,,,,,,,,,,,,
