row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Trích trước chi phí xây dựng và tiền sử dụng đất của các dự án bắt động sản đã bàn giao,Trích trước chi phí xây dựng và tiền sử dụng đất của các dự án bắt động sản đã bàn giao,Trích trước chi phí xây dựng và tiền sử dụng đất của các dự án bắt động sản đã bàn giao,539.898.987.737,344.148.414.641,539898987737.0,344148414641.0
- Dự án An Khánh - An Thượng,- Dự án An Khánh - An Thượng,- Dự án An Khánh - An Thượng,258.203.346.297,115.619.481.482,258203346297.0,115619481482.0
"- Dự án Nhà ở Quận 12, thành phố Hồ Chí Minh","- Dự án Nhà ở Quận 12, thành phố Hồ Chí Minh","- Dự án Nhà ở Quận 12, thành phố Hồ Chí Minh",140.052.284.410,86.885.576.130,140052284410.0,86885576130.0
- Khu Biệt thư Sư Vạn Hạnh,- Khu Biệt thư Sư Vạn Hạnh,- Khu Biệt thư Sư Vạn Hạnh,130.489.147.466,130.489.147.466,130489147466.0,130489147466.0
- Dự án chung cư CC1 Dịch Vọng,- Dự án chung cư CC1 Dịch Vọng,- Dự án chung cư CC1 Dịch Vọng,7.843.113.423,7.843.113.423,7843113423.0,7843113423.0
- Dự án nhà N10 Khu đô thị mới Dịch Vọng,- Dự án nhà N10 Khu đô thị mới Dịch Vọng,- Dự án nhà N10 Khu đô thị mới Dịch Vọng,3.311.096.141,3.311.096.141,3311096141.0,3311096141.0
Trích trước chi phí lãi vay,Trích trước chi phí lãi vay,Trích trước chi phí lãi vay,74.254.053.373,80.038.952.953,74254053373.0,80038952953.0
Trích trước chi phí sử dụng vốn,Trích trước chi phí sử dụng vốn,Trích trước chi phí sử dụng vốn,-,67.767.491.000,,67767491000.0
Trích trước chi phí hỗ trợ lãi suất,Trích trước chi phí hỗ trợ lãi suất,Trích trước chi phí hỗ trợ lãi suất,812.920.548,18.144.181.518,812920548.0,18144181518.0
Các chi phí phải trả ngắn hạn khác,Các chi phí phải trả ngắn hạn khác,Các chi phí phải trả ngắn hạn khác,4.378.418.217,4.143.142.420,4378418217.0,4143142420.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,619.344.379.875,514.242.182.532,619344379875.0,514242182532.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi phí phải trả ngắn hạn các bên khác,Trong đó: > Chi phí phải trả ngắn hạn các bên khác,Chi phí phải trả ngắn hạn các bên khác,558.917.103.041,420.563.478.951,558917103041.0,420563478951.0
Chi phí phải trả ngắn hạn các bên liên quan (Thuyết minh số 27.2),Trong đó: > Chi phí phải trả ngắn hạn các bên liên quan (Thuyết minh số 27.2),Chi phí phải trả ngắn hạn các bên liên quan (Thuyết minh số 27.2),60.427.276.834,93.678.703.581,60427276834.0,93678703581.0
