row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Đông Anh > Ngân hàng Shinhan – Chi nhánh Trần Duy Hưng,Số cuối năm (VND) > 34.797.704.995 > 3.303.926.930,Kỳ hạn trả gốc và lãi > Gốc đáo hạn ngày 18 tháng 11 năm 2023. Lãi trả 1 tháng/lần. > Gốc đáo hạn ngày 4 tháng 2 năm 2023. Lãi trả 1 tháng/lần.,"Lãi suất > 7,5%/năm > Lãi suất tham chiếu cộng biên độ 0,61%/năm và điều chỉnh 3 tháng một lần.",Hình thức đảm bảo > (i) > (ii),numeric__Số cuối năm (VND) > 34.797.704.995 > 3.303.926.930,numeric__Kỳ hạn trả gốc và lãi > Gốc đáo hạn ngày 18 tháng 11 năm 2023. Lãi trả 1 tháng/lần. > Gốc đáo hạn ngày 4 tháng 2 năm 2023. Lãi trả 1 tháng/lần.,"numeric__Lãi suất > 7,5%/năm > Lãi suất tham chiếu cộng biên độ 0,61%/năm và điều chỉnh 3 tháng một lần.",numeric__Hình thức đảm bảo > (i) > (ii)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,38.101.631.925,,,,38101631925.0,,,
Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau:,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Số cuối năm (VND),Kỳ hạn trả gốc và lãi,Lãi suất,Hình thức đảm bảo,,,,
Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Đông Anh Trong đó: Vay dài hạn đến hạn trả,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Đông Anh Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Đông Anh Trong đó: Vay dài hạn đến hạn trả,162.819.304.256,Gốc đáo hạn ngày 18 tháng 11 năm 2023. Lãi trả 1 tháng/lần.,"7,5%/năm",(i),162819304256.0,,,
Ngân hàng Shinhan – Chi nhánh Trần Duy Hưng Trong đó: Vay dài hạn đến hạn trả,Bên cho vay > Ngân hàng Shinhan – Chi nhánh Trần Duy Hưng Trong đó: Vay dài hạn đến hạn trả,Ngân hàng Shinhan – Chi nhánh Trần Duy Hưng Trong đó: Vay dài hạn đến hạn trả,174.461.346.535,Gốc đáo hạn từ ngày 25 tháng 3 năm 2023 đến ngày 7 tháng 10 năm 2026. Lãi trả 3 tháng/lần.,"Lãi suất tham chiếu cộng biên độ 2,31%/năm.",(ii),174461346535.0,,,
TỔNG CỘNG,Bên cho vay > TỔNG CỘNG,TỔNG CỘNG,130.846.009.903,,,,130846009903.0,,,
Trong đó: Vay dài hạn Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn Vay dài hạn đến hạn trả,337.280.650.791(206.434.640.888),,,,,,,
