row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí môi giới bắt động sản và các chi phí bán hàng Dự án An Khánh – An Thượng,Chi phí bán hàng > Chi phí môi giới bắt động sản và các chi phí bán hàng Dự án An Khánh – An Thượng,Chi phí môi giới bắt động sản và các chi phí bán hàng Dự án An Khánh – An Thượng,1.892.587.261,104.780.245.982,1892587261.0,104780245982.0
Chi phí quảng cáo và chi phí khác,Chi phí bán hàng > Chi phí quảng cáo và chi phí khác,Chi phí quảng cáo và chi phí khác,2.187.921.526,9.324.049.128,2187921526.0,9324049128.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,4.080.508.787,114.104.295.110,4080508787.0,114104295110.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp > Chi phí nhân công,Chi phí nhân công,54.267.236.360,53.715.476.463,54267236360.0,53715476463.0
Chi phí khấu hao và hao mòn,Chi phí quản lý doanh nghiệp > Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,858.129.996,946.459.369,858129996.0,946459369.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,22.582.923.200,12.430.025.841,22582923200.0,12430025841.0
Chi phí dự phòng nợ phải thu khó đòi,Chi phí quản lý doanh nghiệp > Chi phí dự phòng nợ phải thu khó đòi,Chi phí dự phòng nợ phải thu khó đòi,286.740.038,42.096.523.130,286740038.0,42096523130.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,9.562.427.571,14.547.236.370,9562427571.0,14547236370.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,87.557.457.165,123.735.721.173,87557457165.0,123735721173.0
