row_label_raw,row_label_full,Các khoản giảm trừ doanh thu,-,-_1,numeric__-,numeric__-_1
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,1.342.422.088.905,1.456.135.572.613,1342422088905.0,1456135572613.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,1.305.011.076.796,1.187.678.928.292,1305011076796.0,1187678928292.0
Doanh thu đối với các bên liên quan(Thuyết minh số 27.1),Trong đó: > Doanh thu đối với các bên liên quan(Thuyết minh số 27.1),Doanh thu đối với các bên liên quan(Thuyết minh số 27.1),37.411.012.109,268.456.644.321,37411012109.0,268456644321.0
