row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND,numeric__Năm nay,numeric__Đơn vị tính: VND
Tổng lợi nhuận kế toán trước thuế:,Tổng lợi nhuận kế toán trước thuế:,Tổng lợi nhuận kế toán trước thuế:,689.311.081.913,1.238.028.671.038,689311081913.0,1238028671038.0
Thuế TNDN theo thuế suất 20% áp dụng cho Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Công ty,137.862.216.383,247.605.734.208,137862216383.0,247605734208.0
Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,,,,
Chi phí tiền đất dự án chưa đủ điều kiện khấu trừ,Các khoản điều chỉnh tăng: > Chi phí tiền đất dự án chưa đủ điều kiện khấu trừ,Chi phí tiền đất dự án chưa đủ điều kiện khấu trừ,50.246.174.412,10.498.104.969,50246174412.0,10498104969.0
Chi phí trích lập dự phòng,Các khoản điều chỉnh tăng: > Chi phí trích lập dự phòng,Chi phí trích lập dự phòng,2.044.840.153,6.672.117.347,2044840153.0,6672117347.0
Chi phí lãi vay trích trước liên quan đến trái phiếu chuyển đổi để thực hiện quyền của chứng quyền,Các khoản điều chỉnh tăng: > Chi phí lãi vay trích trước liên quan đến trái phiếu chuyển đổi để thực hiện quyền của chứng quyền,Chi phí lãi vay trích trước liên quan đến trái phiếu chuyển đổi để thực hiện quyền của chứng quyền,-,8.477.331.529,,8477331529.0
Các chi phí không được trừ khác,Các khoản điều chỉnh tăng: > Các chi phí không được trừ khác,Các chi phí không được trừ khác,1.739.913.064,2.227.935.997,1739913064.0,2227935997.0
Tài sản thuế thu nhập hoãn lại chưa được ghi nhận,Các khoản điều chỉnh tăng: > Tài sản thuế thu nhập hoãn lại chưa được ghi nhận,Tài sản thuế thu nhập hoãn lại chưa được ghi nhận,-,1.146.237.751,,1146237751.0
Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,,,,
"Thu nhập từ cổ tức, lợi nhuận được chia","Các khoản điều chỉnh giảm: > Thu nhập từ cổ tức, lợi nhuận được chia","Thu nhập từ cổ tức, lợi nhuận được chia",(45.347.229.200),(157.982.642.906),-45347229200.0,-157982642906.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh giảm: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(7.746.412.627),(42.910.542),-7746412627.0,-42910542.0
Tài sản thuế thu nhập hoãn lại liên quan đến chi phí sử dụng vốn chưa được khấu trừ,Các khoản điều chỉnh giảm: > Tài sản thuế thu nhập hoãn lại liên quan đến chi phí sử dụng vốn chưa được khấu trừ,Tài sản thuế thu nhập hoãn lại liên quan đến chi phí sử dụng vốn chưa được khấu trừ,-,(2.000.000.000),,-2000000000.0
Thu nhập đã tính thuế các năm trước,Các khoản điều chỉnh giảm: > Thu nhập đã tính thuế các năm trước,Thu nhập đã tính thuế các năm trước,-,(1.209.225.707),,-1209225707.0
Chi phí thuế TNDN,Các khoản điều chỉnh giảm: > Chi phí thuế TNDN,Chi phí thuế TNDN,138.799.502.185,115.392.682.646,138799502185.0,115392682646.0
