row_label_raw,row_label_full,Số đầu năm,Vốn cổ phần đã phát hành > 1.542.750.180.000,Thặng dư vốn cổ phần > 387.992.000,Quỹ đầu tư phát triển > 23.516.835.886,Lợi nhuận sau thuế chưa phân phối > 1.130.476.259.528,Đơn vị tính: VND Tổng cộng > 2.697.131.267.414,numeric__Vốn cổ phần đã phát hành > 1.542.750.180.000,numeric__Thặng dư vốn cổ phần > 387.992.000,numeric__Quỹ đầu tư phát triển > 23.516.835.886,numeric__Lợi nhuận sau thuế chưa phân phối > 1.130.476.259.528,numeric__Đơn vị tính: VND Tổng cộng > 2.697.131.267.414
- Phát hành cổ phiếu trả cổ tức,- Phát hành cổ phiếu trả cổ tức,- Phát hành cổ phiếu trả cổ tức,327.256.970.000,-,-,(327.256.970.000),-,327256970000.0,,,-327256970000.0,
- Phát hành cổ phiếu để thực hiện quyền của chứng quyền,- Phát hành cổ phiếu để thực hiện quyền của chứng quyền,- Phát hành cổ phiếu để thực hiện quyền của chứng quyền,93.567.000.000,228.718.872.127,-,-,322.285.872.127,93567000000.0,228718872127.0,,,322285872127.0
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,1.122.635.988.392,1.122.635.988.392,,,,1122635988392.0,1122635988392.0
"- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi",-,-,-,(20.670.000.000),(20.670.000.000),,,,-20670000000.0,-20670000000.0
Số cuối năm,Số cuối năm,Số cuối năm,1.963.574.150.000,229.106.864.127,23.516.835.886,1.905.185.277.920,4.121.383.127.933,1963574150000.0,229106864127.0,23516835886.0,1905185277920.0,4121383127933.0
Số đầu năm,Số đầu năm,Số đầu năm,1.963.574.150.000,229.106.864.127,23.516.835.886,1.905.185.277.920,4.121.383.127.933,1963574150000.0,229106864127.0,23516835886.0,1905185277920.0,4121383127933.0
- Phát hành cổ phiếu để thực hiện quyền của chứng quyền (i),- Phát hành cổ phiếu để thực hiện quyền của chứng quyền (i),- Phát hành cổ phiếu để thực hiện quyền của chứng quyền (i),74.814.000.000,145.760.864.551,-,-,220.574.864.551,74814000000.0,145760864551.0,,,220574864551.0
- Tạm ứng cổ tức (ii),- Tạm ứng cổ tức (ii),- Tạm ứng cổ tức (ii),-,-,-,(203.838.815.000),(203.838.815.000),,,,-203838815000.0,-203838815000.0
- Phát hành cổ phiếu trả cổ tức (iii),- Phát hành cổ phiếu trả cổ tức (iii),- Phát hành cổ phiếu trả cổ tức (iii),407.670.830.000,-,-,(407.670.830.000),-,407670830000.0,,,-407670830000.0,
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,550.511.579.728,550.511.579.728,,,,550511579728.0,550511579728.0
"- Trích quỹ khen thưởng, phúc lợi (iv)","- Trích quỹ khen thưởng, phúc lợi (iv)","- Trích quỹ khen thưởng, phúc lợi (iv)",-,-,-,(22.452.000.000),(22.452.000.000),,,,-22452000000.0,-22452000000.0
Số cuối năm,Số cuối năm,Số cuối năm,2.446.058.980.000,374.867.728.678,23.516.835.886,1.821.735.212.648,4.666.178.757.212,2446058980000.0,374867728678.0,23516835886.0,1821735212648.0,4666178757212.0
