row_label_raw,row_label_full,TỔNG CỘNG,TỔNG CỘNG_1,TỔNG CỘNG_2,10.697.711.875,27.621.300.039,numeric__TỔNG CỘNG_1,numeric__TỔNG CỘNG_2,numeric__10.697.711.875,numeric__27.621.300.039
Chi phí phải trả ngắn hạn (Thuyết minh số 16),Chi phí phải trả ngắn hạn (Thuyết minh số 16),Chi phí phải trả ngắn hạn (Thuyết minh số 16),Chi phí phải trả ngắn hạn (Thuyết minh số 16),Chi phí phải trả ngắn hạn (Thuyết minh số 16),Chi phí phải trả ngắn hạn (Thuyết minh số 16),Chi phí phải trả ngắn hạn (Thuyết minh số 16),,,,
Công ty Agrita – Quảng Nam,Chi phí phải trả ngắn hạn (Thuyết minh số 16) > Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,Công ty con,Phải trả lãi vay,4.959.199.998,1.299.452.055,,,4959199998.0,1299452055.0
Công ty Minh Long,Chi phí phải trả ngắn hạn (Thuyết minh số 16) > Công ty Minh Long,Công ty Minh Long,Công ty con,Phải trả lãi vay,9.388.367.944,7.127.790.136,,,9388367944.0,7127790136.0
Công ty 756 Sài Gòn,Chi phí phải trả ngắn hạn (Thuyết minh số 16) > Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Phải trả lãi vay,14.731.051.361,2.773.682.720,,,14731051361.0,2773682720.0
Công ty 756 Sài Gòn,Chi phí phải trả ngắn hạn (Thuyết minh số 16) > Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Phải trả phí sử dụng vốn,-,67.767.491.000,,,,67767491000.0
Công ty Za Hưng,Chi phí phải trả ngắn hạn (Thuyết minh số 16) > Công ty Za Hưng,Công ty Za Hưng,Công ty con,Phải trả lãi vay,8.916.109.589,-,,,8916109589.0,
Công ty Hà Đô Thuận Nam,Chi phí phải trả ngắn hạn (Thuyết minh số 16) > Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty con,Phải trả lãi vay,2.869.320.547,-,,,2869320547.0,
Công ty Quản lý Hà Đô,Chi phí phải trả ngắn hạn (Thuyết minh số 16) > Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Phải trả lãi vay,1.357.367.121,671.410.958,,,1357367121.0,671410958.0
Công ty Thiết bị Giáo dục 1,Chi phí phải trả ngắn hạn (Thuyết minh số 16) > Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty con,Phải trả lãi vay,16.483.873.973,13.854.493.151,,,16483873973.0,13854493151.0
Công ty Surya,Chi phí phải trả ngắn hạn (Thuyết minh số 16) > Công ty Surya,Công ty Surya,Công ty con,Phải trả lãi vay,1.039.739.726,184.383.561,,,1039739726.0,184383561.0
Công ty Hà Đô Bình Thuận,Chi phí phải trả ngắn hạn (Thuyết minh số 16) > Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Phải trả lãi vay,682.246.575,-,,,682246575.0,
TỔNG CỘNG,Chi phí phải trả ngắn hạn (Thuyết minh số 16) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,60.427.276.834,93.678.703.581,,,60427276834.0,93678703581.0
