row_label_raw,row_label_full,col_0,Kinh doanhbắt động sản,Kinh doanhdịch vụ khách sạn,Hoạt động xây lắp,Hoạt động cho thuêvà các hoạt độngkhác,Điều chỉnhvà loại trừ,Đơn vị tính: VND,numeric__Kinh doanhbắt động sản,numeric__Kinh doanhdịch vụ khách sạn,numeric__Hoạt động xây lắp,numeric__Hoạt động cho thuêvà các hoạt độngkhác,numeric__Điều chỉnhvà loại trừ,numeric__Đơn vị tính: VND
Doanh thu,Doanh thu,Doanh thu,979.716.124.285,123.197.642.805,248.429.162.018,104.792.643.505,-,1.456.135.572.613,979716124285.0,123197642805.0,248429162018.0,104792643505.0,,1456135572613.0
Doanh thu từ bán hàng rabên ngoài,Doanh thu từ bán hàng rabên ngoài,Doanh thu từ bán hàng rabên ngoài,979.716.124.285,123.197.642.805,248.429.162.018,104.792.643.505,-,1.456.135.572.613,979716124285.0,123197642805.0,248429162018.0,104792643505.0,,1456135572613.0
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,979.716.124.285,123.197.642.805,248.429.162.018,104.792.643.505,-,1.456.135.572.613,979716124285.0,123197642805.0,248429162018.0,104792643505.0,,1456135572613.0
Kết quả,Kết quả,Kết quả,,,,,,,,,,,,
Lợi nhuận/(lỗ) gộp trướcthuế của bộ phận,Kết quả > Lợi nhuận/(lỗ) gộp trướcthuế của bộ phận,Lợi nhuận/(lỗ) gộp trướcthuế của bộ phận,771.427.668.871,70.640.775.241,13.574.258.468,55.697.678.163,-,911.340.380.743,771427668871.0,70640775241.0,13574258468.0,55697678163.0,,911340380743.0
Thu nhập/(chi phí) khôngphân bổ (i),Kết quả > Thu nhập/(chi phí) khôngphân bổ (i),Thu nhập/(chi phí) khôngphân bổ (i),,,,,632.295.797.579,632.295.797.579,,,,,632295797579.0,632295797579.0
Lợi nhuận trước thuếChi phí thuế TNDN,Kết quả > Lợi nhuận trước thuếChi phí thuế TNDN,Lợi nhuận trước thuếChi phí thuế TNDN,508.936.133.914,57.539.971.600,(7.536.112.092),46.792.880.037,632.295.797.579(115.392.682.646),1.238.028.671.038(115.392.682.646),508936133914.0,57539971600.0,-7536112092.0,46792880037.0,,
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,508.936.133.914,57.539.971.600,(7.536.112.092),46.792.880.037,516.903.114.933,1.122.635.988.392,508936133914.0,57539971600.0,-7536112092.0,46792880037.0,516903114933.0,1122635988392.0
Tài sản và công nợ tại ngày31 tháng 12 năm 2020,Tài sản và công nợ tại ngày31 tháng 12 năm 2020,Tài sản và công nợ tại ngày31 tháng 12 năm 2020,,,,,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ tại ngày31 tháng 12 năm 2020 > Tài sản bộ phận,Tài sản bộ phận,1.122.877.266.044,256.934.836.859,233.288.565.318,688.233.593.171,-,2.301.334.261.392,1122877266044.0,256934836859.0,233288565318.0,688233593171.0,,2301334261392.0
Tài sản không phân bổ (ii),Tài sản và công nợ tại ngày31 tháng 12 năm 2020 > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,5.867.029.902.500,5.867.029.902.500,,,,,5867029902500.0,5867029902500.0
Tổng tài sản,Tài sản và công nợ tại ngày31 tháng 12 năm 2020 > Tổng tài sản,Tổng tài sản,1.122.877.266.044,256.934.836.859,233.288.565.318,688.233.593.171,5.867.029.902.500,8.168.364.163.892,1122877266044.0,256934836859.0,233288565318.0,688233593171.0,5867029902500.0,8168364163892.0
Công nợ bộ phận,Tài sản và công nợ tại ngày31 tháng 12 năm 2020 > Công nợ bộ phận,Công nợ bộ phận,1.576.322.822.560,11.980.178.431,50.863.361.550,61.640.037.713,-,1.700.806.400.254,1576322822560.0,11980178431.0,50863361550.0,61640037713.0,,1700806400254.0
Công nợ không phân bổ (iii),Tài sản và công nợ tại ngày31 tháng 12 năm 2020 > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),,,,,2.346.174.635.705,2.346.174.635.705,,,,,2346174635705.0,2346174635705.0
Tổng công nợ,Tài sản và công nợ tại ngày31 tháng 12 năm 2020 > Tổng công nợ,Tổng công nợ,1.576.322.822.560,11.980.178.431,50.863.361.550,61.640.037.713,2.346.174.635.705,4.046.981.035.959,1576322822560.0,11980178431.0,50863361550.0,61640037713.0,2346174635705.0,4046981035959.0
