row_label_raw,row_label_full,col_0,col_1,Năm nayVND,Năm trướcVND,numeric__col_1,numeric__Năm nayVND,numeric__Năm trướcVND
Ông Trần Ngọc NguyênÔng Văn Tiến Thanh,Ông Trần Ngọc NguyênÔng Văn Tiến Thanh,Ông Trần Ngọc NguyênÔng Văn Tiến Thanh,Chủ tịch Hội đồng Quản trịThành viên Hội đồng Quản trị kiểm Tổng Giám đốc,2.507.673.9442.507.673.944,2.490.651.1932.490.651.193,,2.5076739442507674e+19,2.490651193249065e+19
Ông Nguyễn Đức HạnhÔng Lê Đức QuangÔng Nguyễn Đức ThuậnBà Đỗ Thị Hoa,Ông Nguyễn Đức HạnhÔng Lê Đức QuangÔng Nguyễn Đức ThuậnBà Đỗ Thị Hoa,Ông Nguyễn Đức HạnhÔng Lê Đức QuangÔng Nguyễn Đức ThuậnBà Đỗ Thị Hoa,Thành viên Hội đồng Quản trịThành viên Hội đồng Quản trịThành viên đội lập Hội đồng Quản trị,2.055.490.2702.051.490.2701.782.382.031540.739.128,2.051.287.4952.043.287.4951.245.368.424514.000.000,,2.055490270205149e+38,2.0512874952043288e+38
Ông Lê Việt Dũng,Ông Lê Việt Dũng,Ông Lê Việt Dũng,Thành viên độc lập Hội đồng Quản trị (Bố nhiệm ngày 16 tháng 6 năm 2025),302.262.938,-,,302262938.0,
Ông Trường Hồng,Ông Trường Hồng,Ông Trường Hồng,Thành viên độc lập Hội đồng Quản trị (Miễn nhiệm ngày 16 tháng 6 năm 2025),238.476.190,514.000.000,,238476190.0,514000000.0
Ông Trần Chí NguyênÔng Lê Ngọc Minh Trí,Ông Trần Chí NguyênÔng Lê Ngọc Minh Trí,Ông Trần Chí NguyênÔng Lê Ngọc Minh Trí,Phó Tổng Giám đốcPhó Tổng Giám đốc (Miễn nhiệm ngày 01 tháng 6 năm 2025),2.043.490.2701.339.761.379,2.027.287.4952.027.287.495,,2.0434902701339763e+19,2.0272874952027288e+19
Ông Trần Thế Cường,Ông Trần Thế Cường,Ông Trần Thế Cường,Phó Tổng Giám đốc (Bố nhiệm ngày 02 tháng 6 năm 2025),704.003.774,-,,704003774.0,
Ông Nguyễn Tuấn AnhBà Nguyễn Thị HiềnÔng Nguyễn Thanh Tùng,Ông Nguyễn Tuấn AnhBà Nguyễn Thị HiềnÔng Nguyễn Thanh Tùng,Ông Nguyễn Tuấn AnhBà Nguyễn Thị HiềnÔng Nguyễn Thanh Tùng,Phó Tổng Giám đốcPhó Tổng Giám đốcPhó Tổng Giám đốc,2.043.490.2702.043.490.2702.073.195.820,2.027.287.4952.027.287.4952.056.993.045,,2.043490270204349e+29,2.0272874952027286e+29
Ông Đình Như Cường,Ông Đình Như Cường,Ông Đình Như Cường,Kế toán trường,1.903.841.508,1.887.479.798,,1903841508.0,1887479798.0
Ông Tổng Việt Thống,Ông Tổng Việt Thống,Ông Tổng Việt Thống,Trường Ban Kiểm soát (Bố nhiệm ngày 16 tháng 6 năm 2025),620.842.814,-,,620842814.0,
Bà Phan Thị Cẩm Hương,Bà Phan Thị Cẩm Hương,Bà Phan Thị Cẩm Hương,Trường Ban Kiểm soát (Miễn nhiệm ngày 16 tháng 6 năm 2025),1.284.632.694,1.887.479.798,,1284632694.0,1887479798.0
Ông Đỗ Minh DươngÔng Lê Cảnh Khánh,Ông Đỗ Minh DươngÔng Lê Cảnh Khánh,Ông Đỗ Minh DươngÔng Lê Cảnh Khánh,Thành viên Ban Kiểm soátThành viên Ban Kiểm soát,1.540.691.042103.000.00027.686.628.556,1.524.911.12394.000.00026.909.259.544,,1.540691042103e+29,1.52491112394e+28
Huỳnh Thanh TrungNgười lập biểu,Huỳnh Thanh TrungNgười lập biểu,Huỳnh Thanh TrungNgười lập biểu,Đinh Như CườngPhụ trách kế toán,Trần Chí NguyênPhó Tổng Giám đốc,Trần Chí NguyênPhó Tổng Giám đốc,,,
