row_label_raw,row_label_full,col_0,Theo Giấy chứng nhậnĐăng ký Doanh nghiệp,Theo Giấy chứng nhậnĐăng ký Doanh nghiệp_1,Vốn đã góp,Vốn đã góp_1,numeric__Theo Giấy chứng nhậnĐăng ký Doanh nghiệp,numeric__Theo Giấy chứng nhậnĐăng ký Doanh nghiệp_1,numeric__Vốn đã góp,numeric__Vốn đã góp_1
,,,Theo Giấy chứng nhậnĐăng ký Doanh nghiệp,Theo Giấy chứng nhậnĐăng ký Doanh nghiệp,Số cuối năm,Số đầu năm,,,,
,,,VND,%,VND,VND,,,,
Tập đoàn Công nghiệp -Năng lượng Quốc gia ViệtNam,Tập đoàn Công nghiệp -Năng lượng Quốc gia ViệtNam,Tập đoàn Công nghiệp -Năng lượng Quốc gia ViệtNam,4.000.230.570.000,"75,56",4.000.230.570.000,4.000.230.570.000,4000230570000.0,75.56,4000230570000.0,4000230570000.0
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,1.293.769.430.000,"24,44",1.293.769.430.000,1.293.769.430.000,1293769430000.0,24.44,1293769430000.0,1293769430000.0
,,,5.294.000.000.000,100,5.294.000.000.000,5.294.000.000.000,5294000000000.0,100.0,5294000000000.0,5294000000000.0
