row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,14.447.094.769.514,12.920.862.784.796,,100.0,,14447094769514.0,12920862784796.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5,3.590.267.536.235,1.903.248.325.989,,110.0,5.0,3590267536235.0,1903248325989.0
1.,1.,1.,Tiền,111,,3.375.267.536.235,1.903.248.325.989,,111.0,,3375267536235.0,1903248325989.0
2.,2.,2.,Các khoản tương đương tiền,112,,215.000.000.000,-,,112.0,,215000000000.0,
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,6,4.082.000.000.000,7.039.051.232.877,,120.0,6.0,4082000000000.0,7039051232877.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,4.082.000.000.000,7.039.051.232.877,,123.0,,4082000000000.0,7039051232877.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,1.258.875.388.173,528.623.191.927,,130.0,,1258875388173.0,528623191927.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,7,678.419.194.118,298.904.899.906,,131.0,7.0,678419194118.0,298904899906.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,8,432.264.154.145,225.763.998.056,,132.0,8.0,432264154145.0,225763998056.0
3.,3.,3.,Phải thu ngắn hạn khác,136,9,258.724.296.669,115.442.545.600,,136.0,9.0,258724296669.0,115442545600.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,10,(110.532.256.759),(111.488.251.635),,137.0,10.0,-110532256759.0,-111488251635.0
IV.,IV.,IV.,Hàng tồn kho,140,11,4.808.860.027.791,2.950.300.636.844,,140.0,11.0,4808860027791.0,2950300636844.0
1.,1.,1.,Hàng tồn kho,141,,4.891.141.266.410,2.992.364.969.228,,141.0,,4891141266410.0,2992364969228.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(82.281.238.619),(42.064.332.384),,149.0,,-82281238619.0,-42064332384.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,707.091.817.315,499.639.397.159,,150.0,,707091817315.0,499639397159.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,12,185.700.569.285,348.205.875.657,,151.0,12.0,185700569285.0,348205875657.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,520.889.045.701,150.931.319.173,,152.0,,520889045701.0,150931319173.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,19,502.202.329,502.202.329,,153.0,19.0,502202329.0,502202329.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,3.196.543.598.372,2.807.984.553.349,,200.0,,3196543598372.0,2807984553349.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,511.526.016,511.526.016,,210.0,,511526016.0,511526016.0
1.,1.,1.,Phải thu dài hạn khác,216,,511.526.016,511.526.016,,216.0,,511526016.0,511526016.0
II.,II.,II.,Tài sản cố định,220,,2.175.474.361.302,1.946.194.464.286,,220.0,,2175474361302.0,1946194464286.0
1.,1.,1.,Tài sản cố định hữu hình,221,13,1.738.283.205.702,1.571.196.451.367,,221.0,13.0,1738283205702.0,1571196451367.0
,,,- Nguyên giá,222,,16.958.837.848.708,16.486.331.655.016,,222.0,,16958837848708.0,16486331655016.0
,,,- Giá trị hao mòn lũy kế,223,,(15.220.554.643.006),(14.915.135.203.649),,223.0,,-15220554643006.0,-14915135203649.0
2.,2.,2.,Tài sản cố định thuê tài chính,224,,10.884.053.785,11.212.288.816,,224.0,,10884053785.0,11212288816.0
,,,- Nguyên giá,225,,14.121.585.797,11.983.425.797,,225.0,,14121585797.0,11983425797.0
,,,- Giá trị hao mòn lũy kế,226,,(3.237.532.012),(771.136.981),,226.0,,-3237532012.0,-771136981.0
3.,3.,3.,Tài sản cố định vô hình,227,14,426.307.101.815,363.785.724.103,,227.0,14.0,426307101815.0,363785724103.0
,,,- Nguyên giá,228,,637.247.814.844,537.970.181.901,,228.0,,637247814844.0,537970181901.0
,,,- Giá trị hao mòn lũy kế,229,,(210.940.713.029),(174.184.457.798),,229.0,,-210940713029.0,-174184457798.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,678.241.803.727,601.165.574.098,,240.0,,678241803727.0,601165574098.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,15,678.241.803.727,601.165.574.098,,242.0,15.0,678241803727.0,601165574098.0
IV.,IV.,IV.,Tài sản dài hạn khác,260,,342.315.907.327,260.112.988.949,,260.0,,342315907327.0,260112988949.0
1.,1.,1.,Chi phí trả trước dài hạn,261,12,249.055.113.223,181.639.981.420,,261.0,12.0,249055113223.0,181639981420.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,16,93.260.794.104,78.473.007.529,,262.0,16.0,93260794104.0,78473007529.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,17.643.638.367.886,15.728.847.338.145,,270.0,,17643638367886.0,15728847338145.0
