row_label_raw,row_label_full,col_0,Nội địa,Nước ngoài,Tổng cộng,numeric__Nội địa,numeric__Nước ngoài,numeric__Tổng cộng
,,,VND,VND,VND,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,11.743.033.990.370,4.887.896.298.460,16.630.930.288.830,11743033990370.0,4887896298460.0,16630930288830.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(8.843.769.906.523),(3.738.502.945.284),(12.582.272.851.807),-8843769906523.0,-3738502945284.0,-12582272851807.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,2.899.264.083.847,1.149.393.353.176,4.048.657.437.023,2899264083847.0,1149393353176.0,4048657437023.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,(1.175.971.610.853),,,-1175971610853.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,(967.950.624.433),,,-967950624433.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,394.907.720.595,,,394907720595.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,(97.431.215.423),,,-97431215423.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,7.039.593.354,,,7039593354.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(1.816.308.796),,,-1816308796.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,2.207.434.991.467,,,2207434991467.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,(260.385.153.457),,,-260385153457.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,14.787.786.575,,,14787786575.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,1.961.837.624.585,,,1961837624585.0
