row_label_raw,row_label_full,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ phần sờ hữu (%),Tỷ lệ quyền biểu quyết nằm giữ (%),Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sờ hữu (%),numeric__Tỷ lệ quyền biểu quyết nằm giữ (%),numeric__Hoạt động chính
Công ty TNHH Phân bón Hàn - Việt,Công ty TNHH Phân bón Hàn - Việt,Công ty TNHH Phân bón Hàn - Việt,Thành phố Hồ Chí Minh,100,100,Sản xuất phân bón,,100.0,100.0,
Công ty Cổ phần Bao bì Dầu khí Việt Nam,Công ty Cổ phần Bao bì Dầu khí Việt Nam,Công ty Cổ phần Bao bì Dầu khí Việt Nam,Cà Mau (trước đây là Bạc Liêu),"51,03","51,03",Sản xuất bao bì và phân bón,,51.03,51.03,
