row_label_raw,row_label_full,Phải thu Tập đoàn Công nghiệp - Năng lượngQuốc gia Việt Nam (i),Số cuối nămVND > 163.556.657.130,Số đầu nămVND > -,numeric__Số cuối nămVND > 163.556.657.130,numeric__Số đầu nămVND > -
Phải thu thuế nhà thầu (ii),Phải thu thuế nhà thầu (ii),Phải thu thuế nhà thầu (ii),43.228.514.461,43.228.523.461,43228514461.0,43228523461.0
Lãi dự thu tiền gửi có kỳ hạn,Lãi dự thu tiền gửi có kỳ hạn,Lãi dự thu tiền gửi có kỳ hạn,19.369.216.444,59.967.414.118,19369216444.0,59967414118.0
"Phải thu bảo hiểm kho hàng hóa phân bón, phân đạm","Phải thu bảo hiểm kho hàng hóa phân bón, phân đạm","Phải thu bảo hiểm kho hàng hóa phân bón, phân đạm",13.111.774.372,-,13111774372.0,
Tạm ứng cán bộ công nhân viên,Tạm ứng cán bộ công nhân viên,Tạm ứng cán bộ công nhân viên,8.785.250.943,5.781.317.378,8785250943.0,5781317378.0
Phải thu tiền chiết khấu hàng mua,Phải thu tiền chiết khấu hàng mua,Phải thu tiền chiết khấu hàng mua,5.605.112.500,2.495.325.600,5605112500.0,2495325600.0
"Ký cuộc, ký quỹ","Ký cuộc, ký quỹ","Ký cuộc, ký quỹ",1.869.305.000,1.708.203.000,1869305000.0,1708203000.0
Phải thu khác,Phải thu khác,Phải thu khác,3.198.465.819,2.261.762.043,3198465819.0,2261762043.0
,,,258.724.296.669,115.442.545.600,258724296669.0,115442545600.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn khác từ các bên liên quan(Chi tiết tại Thuyết minh số 39),Trong đó: > Phải thu ngắn hạn khác từ các bên liên quan(Chi tiết tại Thuyết minh số 39),Phải thu ngắn hạn khác từ các bên liên quan(Chi tiết tại Thuyết minh số 39),164.208.437.130,651.780.000,164208437130.0,651780000.0
