row_label_raw,row_label_full,14. VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Vay ngắn hạn - VND,Vay ngắn hạn - VND,Vay ngắn hạn - VND,1.829.735.164.432,1.829.735.164.432,4.156.094.793.613,3.330.564.859.430,1.004.205.230.249,1.004.205.230.249,1829735164432.0,1829735164432.0,4156094793613.0,3330564859430.0,1004205230249.0,1004205230249.0
Bên khác,Bên khác,Bên khác,1.659.735.164.432,1.659.735.164.432,3.546.094.793.613,2.859.063.651.687,972.704.022.506,972.704.022.506,1659735164432.0,1659735164432.0,3546094793613.0,2859063651687.0,972704022506.0,972704022506.0
- Ngân hàng BIDV-KG,- Ngân hàng BIDV-KG,- Ngân hàng BIDV-KG,,,701.619.957.101,1.001.449.427.416,299.829.470.315,299.829.470.315,,,701619957101.0,1001449427416.0,299829470315.0,299829470315.0
- Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,- Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,- Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,499.722.925.316,499.722.925.316,531.927.287.943,32.204.362.627,,,499722925316.0,499722925316.0,531927287943.0,32204362627.0,,
- Ngân hàng Tiên Phong,- Ngân hàng Tiên Phong,- Ngân hàng Tiên Phong,271.603.434.184,271.603.434.184,575.581.074.031,523.932.380.083,219.954.740.236,219.954.740.236,271603434184.0,271603434184.0,575581074031.0,523932380083.0,219954740236.0,219954740236.0
- Ngân hàng VPBank Tp.HCM,- Ngân hàng VPBank Tp.HCM,- Ngân hàng VPBank Tp.HCM,275.812.625.534,275.812.625.534,853.403.985.800,827.744.158.766,250.152.798.500,250.152.798.500,275812625534.0,275812625534.0,853403985800.0,827744158766.0,250152798500.0,250152798500.0
- Ngân hàng TMCP Á Châu - CN An Giang,- Ngân hàng TMCP Á Châu - CN An Giang,- Ngân hàng TMCP Á Châu - CN An Giang,28.742.239.800,28.742.239.800,58.006.732.306,58.653.560.136,29.389.067.630,29.389.067.630,28742239800.0,28742239800.0,58006732306.0,58653560136.0,29389067630.0,29389067630.0
- Ngân hàng Phát Triển Tp.HCM,- Ngân hàng Phát Triển Tp.HCM,- Ngân hàng Phát Triển Tp.HCM,22.638.307.400,22.638.307.400,69.363.865.400,76.725.558.000,30.000.000.000,30.000.000.000,22638307400.0,22638307400.0,69363865400.0,76725558000.0,30000000000.0,30000000000.0
- Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,- Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,- Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,400.306.306.950,400.306.306.950,400.306.306.950,,,,400306306950.0,400306306950.0,400306306950.0,,,
- Ngân hàng VCB - Kiên Giang,- Ngân hàng VCB - Kiên Giang,- Ngân hàng VCB - Kiên Giang,15.151.810.950,15.151.810.950,32.378.066.868,34.486.293.418,17.260.037.500,17.260.037.500,15151810950.0,15151810950.0,32378066868.0,34486293418.0,17260037500.0,17260037500.0
