row_label_raw,row_label_full,b) Đầu tư nằm giữ đến ngày đáo hạn,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi số,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Dự phòng
b1) Ngắn hạn,b1) Ngắn hạn,b1) Ngắn hạn,203.846.257.353,203.846.257.353,,378.375.751.147,378.375.751.147,,203846257353.0,203846257353.0,,378375751147.0,378375751147.0,
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,203.846.257.353,203.846.257.353,,378.375.751.147,378.375.751.147,,203846257353.0,203846257353.0,,378375751147.0,378375751147.0,
b2) Dài hạn,b2) Dài hạn,b2) Dài hạn,30.000.000.000,30.000.000.000,,30.085.612.472,30.085.612.472,,30000000000.0,30000000000.0,,30085612472.0,30085612472.0,
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,,,,30.085.612.472,30.085.612.472,,,,,30085612472.0,30085612472.0,
- Trái phiếu (*),- Trái phiếu (*),- Trái phiếu (*),30.000.000.000,30.000.000.000,,,,,30000000000.0,30000000000.0,,,,
Cộng,Cộng,Cộng,233.846.257.353,233.846.257.353,,408.461.363.619,408.461.363.619,,233846257353.0,233846257353.0,,408461363619.0,408461363619.0,
"(*) Khoản đầu tư gồm 3000 trái phiếu mệnh giá 10.000.000 đồng, ký hạn 10 năm; lãi suất: Lãi suất tham chiếu +0,8%/năm; do Ngân hàng TM CP Công thương Việt Nam phát hành.","(*) Khoản đầu tư gồm 3000 trái phiếu mệnh giá 10.000.000 đồng, ký hạn 10 năm; lãi suất: Lãi suất tham chiếu +0,8%/năm; do Ngân hàng TM CP Công thương Việt Nam phát hành.","(*) Khoản đầu tư gồm 3000 trái phiếu mệnh giá 10.000.000 đồng, ký hạn 10 năm; lãi suất: Lãi suất tham chiếu +0,8%/năm; do Ngân hàng TM CP Công thương Việt Nam phát hành.","(*) Khoản đầu tư gồm 3000 trái phiếu mệnh giá 10.000.000 đồng, ký hạn 10 năm; lãi suất: Lãi suất tham chiếu +0,8%/năm; do Ngân hàng TM CP Công thương Việt Nam phát hành.","(*) Khoản đầu tư gồm 3000 trái phiếu mệnh giá 10.000.000 đồng, ký hạn 10 năm; lãi suất: Lãi suất tham chiếu +0,8%/năm; do Ngân hàng TM CP Công thương Việt Nam phát hành.","(*) Khoản đầu tư gồm 3000 trái phiếu mệnh giá 10.000.000 đồng, ký hạn 10 năm; lãi suất: Lãi suất tham chiếu +0,8%/năm; do Ngân hàng TM CP Công thương Việt Nam phát hành.","(*) Khoản đầu tư gồm 3000 trái phiếu mệnh giá 10.000.000 đồng, ký hạn 10 năm; lãi suất: Lãi suất tham chiếu +0,8%/năm; do Ngân hàng TM CP Công thương Việt Nam phát hành.","(*) Khoản đầu tư gồm 3000 trái phiếu mệnh giá 10.000.000 đồng, ký hạn 10 năm; lãi suất: Lãi suất tham chiếu +0,8%/năm; do Ngân hàng TM CP Công thương Việt Nam phát hành.","(*) Khoản đầu tư gồm 3000 trái phiếu mệnh giá 10.000.000 đồng, ký hạn 10 năm; lãi suất: Lãi suất tham chiếu +0,8%/năm; do Ngân hàng TM CP Công thương Việt Nam phát hành.",,,,,,
c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,Giá gốc,Giá hợp lý,Dự phòng,Giá gốc,Giá hợp lý,Dự phòng,,,,,,
Đầu tư vào công ty con,c) Đầu tư góp vốn vào đơn vị khác > Đầu tư vào công ty con,Đầu tư vào công ty con,2.283.681.715.311,1.288.584.247.900,(4.547.589.590),2.283.681.715.311,1.907.457.646.000,(9.359.115.976),2283681715311.0,1288584247900.0,-4547589590.0,2283681715311.0,1907457646000.0,-9359115976.0
+ Công ty Cổ phần Dũng Thịnh Phát Sài Gòn (*),c) Đầu tư góp vốn vào đơn vị khác > + Công ty Cổ phần Dũng Thịnh Phát Sài Gòn (*),+ Công ty Cổ phần Dũng Thịnh Phát Sài Gòn (*),33.000.000.000,,,33.000.000.000,,,33000000000.0,,,33000000000.0,,
+ Công ty Cổ phần Du Lịch Đồng Tháp (*),c) Đầu tư góp vốn vào đơn vị khác > + Công ty Cổ phần Du Lịch Đồng Tháp (*),+ Công ty Cổ phần Du Lịch Đồng Tháp (*),68.391.109.800,,,68.391.109.800,,(4.211.971.158),68391109800.0,,,68391109800.0,,-4211971158.0
+ Công ty Cổ phần ĐT TC & Truyền Thông Quốc Tế (*),c) Đầu tư góp vốn vào đơn vị khác > + Công ty Cổ phần ĐT TC & Truyền Thông Quốc Tế (*),+ Công ty Cổ phần ĐT TC & Truyền Thông Quốc Tế (*),11.510.000.000,,(4.052.139.743),11.510.000.000,,(5.147.144.818),11510000000.0,,-4052139743.0,11510000000.0,,-5147144818.0
+ Công ty Cổ phần Nhụt Hồng (*),c) Đầu tư góp vốn vào đơn vị khác > + Công ty Cổ phần Nhụt Hồng (*),+ Công ty Cổ phần Nhụt Hồng (*),167.991.740.000,,,167.991.740.000,,,167991740000.0,,,167991740000.0,,
