row_label_raw,row_label_full,1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,"66,00%","66,00%_1","numeric__66,00%","numeric__66,00%_1"
2. Công ty Cổ phần Du Lịch Đồng Tháp,2. Công ty Cổ phần Du Lịch Đồng Tháp,2. Công ty Cổ phần Du Lịch Đồng Tháp,"86,76%","86,76%",0.8676,0.8676
3. Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế,3. Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế,3. Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế,"63,94%","63,94%",0.6394,0.6394
4. Công ty Cổ phần Du Lịch An Giang,4. Công ty Cổ phần Du Lịch An Giang,4. Công ty Cổ phần Du Lịch An Giang,"71,82%","71,82%",0.7182,0.7182
5. Công ty Cổ phần Nhựt Hồng,5. Công ty Cổ phần Nhựt Hồng,5. Công ty Cổ phần Nhựt Hồng,"60,00%","60,00%",0.6,0.6
6. Công ty TNHH Sao Mai Super Feed,6. Công ty TNHH Sao Mai Super Feed,6. Công ty TNHH Sao Mai Super Feed,"100,00%","100,00%",1.0,1.0
7. Công ty TNHH TM Sào Mài Solar,7. Công ty TNHH TM Sào Mài Solar,7. Công ty TNHH TM Sào Mài Solar,"100,00%","100,00%",1.0,1.0
8. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,8. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,8. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,"51,23%","51,23%",0.5123,0.5123
9. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản,9. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản,9. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản,"43,95%","82,67%",0.4395,0.8267
10. Công ty Cổ phần Tư vấn và Đầu tư Tài chính,10. Công ty Cổ phần Tư vấn và Đầu tư Tài chính,10. Công ty Cổ phần Tư vấn và Đầu tư Tài chính,"53,83%","91,95%",0.5383,0.9195
11. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,11. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,11. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,"76,67%","76,67%",0.7667,0.7667
12. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,12. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,12. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,"49,94%","97,50%",0.49939999999999996,0.975
