row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Tiên Phong - CN An Giang > Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,Hợp đồng/Khế ước > 424/2022/HDTD/AGG > 552/2021/HDHM/CIB,Hạn mức/Số tiền vay (VND) > VND > 300.000.000.000 > 400.000.000.000,Dư nợ vay > VND > 271.603.434.184 > 275.812.625.534,Thời hạn vay (Tháng) > 6,Lãi suất (%) > Theo từng khế ước nhận nợ,"Mục đích vay > Bổ sung vốn lưu động phục vụ sxkd, phát hành LC NK SX thức ăn > Bổ sung vốn lưu động phục vụ sxkd",Hình thức đảm bảo > TSCĐ + tiền gửi > TSCĐ,numeric__Hợp đồng/Khế ước > 424/2022/HDTD/AGG > 552/2021/HDHM/CIB,numeric__Hạn mức/Số tiền vay (VND) > VND > 300.000.000.000 > 400.000.000.000,numeric__Dư nợ vay > VND > 271.603.434.184 > 275.812.625.534,numeric__Thời hạn vay (Tháng) > 6,numeric__Lãi suất (%) > Theo từng khế ước nhận nợ,"numeric__Mục đích vay > Bổ sung vốn lưu động phục vụ sxkd, phát hành LC NK SX thức ăn > Bổ sung vốn lưu động phục vụ sxkd",numeric__Hình thức đảm bảo > TSCĐ + tiền gửi > TSCĐ
Đối tượng khác,Đối tượng khác,Đối tượng khác,Từng hợp đồng cụ thể,,197.334.577.160,12,Theo từng hợp đồng cụ thể,Phục vụ sản xuất kinh doanh,Tín chấp,,,197334577160.0,12.0,,,
Ngân hàng TMCP công thương Đông Hà Nội,Ngân hàng TMCP công thương Đông Hà Nội,Ngân hàng TMCP công thương Đông Hà Nội,388-05/2022/HDDCVDADD T/NHCT131-SAOMAI,650.000.000.000,121.235.000.000,72,Theo từng khế ước nhận nợ,"Các chi phí thuộc mức đầu tư của dự án 2, KDT mới Sao Mai Lam Sơn - Sao Vàng, thọ Xuân, Thanh Hóa","TSCĐ, cổ phiếu và các TS hình thành từ dự án",,650000000000.0,121235000000.0,72.0,,,
"NH TMCP Phát Triển Tp HCM - PGD Rạch Dừa, Vũng Tàu","NH TMCP Phát Triển Tp HCM - PGD Rạch Dừa, Vũng Tàu","NH TMCP Phát Triển Tp HCM - PGD Rạch Dừa, Vũng Tàu",23179/18MN,1.400.000.000.000,1.065.880.886.417,120,Theo từng khế ước nhận nợ,"Dự án điện mặt trời giai đoạn 1,2",TSCĐ hình thành từ dự án,,1400000000000.0,1065880886417.0,120.0,,,
"NH TMCP Phát Triển Tp HCM - PGD Rạch Dừa, Vũng Tàu","NH TMCP Phát Triển Tp HCM - PGD Rạch Dừa, Vũng Tàu","NH TMCP Phát Triển Tp HCM - PGD Rạch Dừa, Vũng Tàu",2433/20MN,1.400.000.000.000,493.327.805.467,120,Theo từng khế ước nhận nợ,"Dự án điện mặt trời giai đoạn 3,4",TSCĐ hình thành từ dự án,,1400000000000.0,493327805467.0,120.0,,,
Đối tượng khác,Đối tượng khác,Đối tượng khác,Từng hợp đồng cụ thể,,1.235.870.678.292,60,"Theo từng hợp đồng cụ thể, trả gốc cuối kỳ",Phục vụ sản xuất kinh doanh,Tín chấp,,,1235870678292.0,60.0,,,
Đối tượng khác,Đối tượng khác,Đối tượng khác,Từng hợp đồng cụ thể,,274.763.324.400,22,"Theo từng hợp đồng cụ thể, trả gốc cuối kỳ",Phục vụ sản xuất kinh doanh,Tín chấp,,,274763324400.0,22.0,,,
