row_label_raw,row_label_full,Tên công ty,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Lợi nhuận sau thuế,Lợi nhuận chưa phân phối,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Lợi nhuận sau thuế,numeric__Lợi nhuận chưa phân phối
1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,"66,00%","66,00%",(5.769.031),95.780.839,0.66,0.66,-5769031.0,95780839.0
2. Công ty Cổ phần Du Lịch Đồng Tháp,2. Công ty Cổ phần Du Lịch Đồng Tháp,2. Công ty Cổ phần Du Lịch Đồng Tháp,"86,76%","86,76%",8.814.303.499,3.268.639.456,0.8676,0.8676,8814303499.0,3268639456.0
3. Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế,3. Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế,3. Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế,"63,94%","63,94%",3.261.468.829,(4.787.932.277),0.6394,0.6394,3261468829.0,-4787932277.0
4. Công ty Cổ phần Du Lịch An Giang,4. Công ty Cổ phần Du Lịch An Giang,4. Công ty Cổ phần Du Lịch An Giang,"71,82%","71,82%",14.955.375.166,2.704.859.884,0.7182,0.7182,14955375166.0,2704859884.0
5. Công ty Cổ phần Nhựt Hồng,5. Công ty Cổ phần Nhựt Hồng,5. Công ty Cổ phần Nhựt Hồng,"60,00%","60,00%",68.472.665.902,127.902.006.677,0.6,0.6,68472665902.0,127902006677.0
6. Công ty TNHH Sao Mai Super Feed,6. Công ty TNHH Sao Mai Super Feed,6. Công ty TNHH Sao Mai Super Feed,"100,00%","100,00%",89.291.726.894,163.656.476.301,1.0,1.0,89291726894.0,163656476301.0
7. Công ty TNHH TM Sao Mai Solar,7. Công ty TNHH TM Sao Mai Solar,7. Công ty TNHH TM Sao Mai Solar,"100,00%","100,00%",1.082.726.376,23.075.025.715,1.0,1.0,1082726376.0,23075025715.0
8. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,8. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,8. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,"51,23%","51,23%",499.922.726.242,567.521.950.173,0.5123,0.5123,499922726242.0,567521950173.0
9. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản,9. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản,9. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản,"43,95%","82,67%",80.098.959.462,90.162.716.092,0.4395,0.8267,80098959462.0,90162716092.0
10. Công ty Cổ phần Tư vấn và Đầu tư Tài chính,10. Công ty Cổ phần Tư vấn và Đầu tư Tài chính,10. Công ty Cổ phần Tư vấn và Đầu tư Tài chính,"53,83%","91,95%",(3.027.225.386),(2.989.783.407),0.5383,0.9195,-3027225386.0,-2989783407.0
11. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,11. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,11. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,"76,67%","76,67%",74.951.425.494,169.450.297.786,0.7667,0.7667,74951425494.0,169450297786.0
12. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,12. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,12. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,"49,94%","97,50%",(32.805.900),(82.471.584),0.49939999999999996,0.975,-32805900.0,-82471584.0
