row_label_raw,row_label_full,"a) Chi phí sản xuất, kinh doanh dở dang dài hạn","a) Chi phí sản xuất, kinh doanh dở dang dài hạn_1","a) Chi phí sản xuất, kinh doanh dở dang dài hạn_2","numeric__a) Chi phí sản xuất, kinh doanh dở dang dài hạn_1","numeric__a) Chi phí sản xuất, kinh doanh dở dang dài hạn_2"
b) Xây dựng cơ bản dở dang,b) Xây dựng cơ bản dở dang,b) Xây dựng cơ bản dở dang,293.921.831.439,100.386.472.842,293921831439.0,100386472842.0
- Đường GTGT BK3,- Đường GTGT BK3,- Đường GTGT BK3,1.147.923.083,1.147.923.083,1147923083.0,1147923083.0
- Khu dân cư Hoà Bình,- Khu dân cư Hoà Bình,- Khu dân cư Hoà Bình,1.653.591.160,1.653.591.160,1653591160.0,1653591160.0
- Khu đô thị Mỹ Tho,- Khu đô thị Mỹ Tho,- Khu đô thị Mỹ Tho,882.034.099,882.034.099,882034099.0,882034099.0
- Nhà máy điện năng lượng mặt trời - Tịnh Biên An Giang,- Nhà máy điện năng lượng mặt trời - Tịnh Biên An Giang,- Nhà máy điện năng lượng mặt trời - Tịnh Biên An Giang,55.992.877.500,53.543.924.500,55992877500.0,53543924500.0
- Khu dân cư Lam Sơn Sao Vàng,- Khu dân cư Lam Sơn Sao Vàng,- Khu dân cư Lam Sơn Sao Vàng,131.815.000.000,41.700.000.000,131815000000.0,41700000000.0
- Dự án năng lượng mặt trời Tại Huyện Ea H'Leo - Đắk Lắk,- Dự án năng lượng mặt trời Tại Huyện Ea H'Leo - Đắk Lắk,- Dự án năng lượng mặt trời Tại Huyện Ea H'Leo - Đắk Lắk,174.000.000,174.000.000,174000000.0,174000000.0
- Khu Dân Cư Tân Châu - An Giang,- Khu Dân Cư Tân Châu - An Giang,- Khu Dân Cư Tân Châu - An Giang,34.165.727.108,1.285.000.000,34165727108.0,1285000000.0
- Khu dân cư São Mai Bình Khánh 4,- Khu dân cư São Mai Bình Khánh 4,- Khu dân cư São Mai Bình Khánh 4,1.000.000.000,,1000000000.0,
- Khu đô thị Mới Sao Mai Tây Khánh 4+5 khu Mỹ Hòa,- Khu đô thị Mới Sao Mai Tây Khánh 4+5 khu Mỹ Hòa,- Khu đô thị Mới Sao Mai Tây Khánh 4+5 khu Mỹ Hòa,1.000.000.000,,1000000000.0,
"- Khu đô thị mới Sao Mai xã Minh Sơn & TT Triệu Sơn, Thanh Hóa","- Khu đô thị mới Sao Mai xã Minh Sơn & TT Triệu Sơn, Thanh Hóa","- Khu đô thị mới Sao Mai xã Minh Sơn & TT Triệu Sơn, Thanh Hóa",41.161.077.853,,41161077853.0,
- Khu Resort Thọ Xuân (KINGLE) Thanh Hóa,- Khu Resort Thọ Xuân (KINGLE) Thanh Hóa,- Khu Resort Thọ Xuân (KINGLE) Thanh Hóa,23.601.536.000,,23601536000.0,
- Văn Phòng - CN Đắk Nông,- Văn Phòng - CN Đắk Nông,- Văn Phòng - CN Đắk Nông,1.328.064.636,,1328064636.0,
Cộng,Cộng,Cộng,293.921.831.439,100.386.472.842,293921831439.0,100386472842.0
