row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,Số cuối năm > Giá trị_1,Số cuối năm > Giá trị_2,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị_1,numeric__Số cuối năm > Giá trị_2
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,150.889.520.623,,170.982.479.052,,150.889.520.623,170.982.479.052,150889520623.0,,170982479052.0,,150889520623.0,170982479052.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,149.430.820.552,(9.791.211.068),365.979.737.197,(9.874.620.468),139.639.609.484,356.105.116.729,149430820552.0,-9791211068.0,365979737197.0,-9874620468.0,139639609484.0,356105116729.0
Trả trước cho người bán,Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,1.032.419.792.278,,814.403.280.410,,1.032.419.792.278,814.403.280.410,1032419792278.0,,814403280410.0,,1032419792278.0,814403280410.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,204.372.738.785,,190.465.158.334,,204.372.738.785,190.465.158.334,204372738785.0,,190465158334.0,,204372738785.0,190465158334.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,203.846.257.353,,378.375.751.147,,203.846.257.353,378.375.751.147,203846257353.0,,378375751147.0,,203846257353.0,378375751147.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,2.315.681.715.311,(6.547.589.590),2.315.767.327.783,(11.359.115.976),2.309.134.125.721,2.304.408.211.807,2315681715311.0,-6547589590.0,2315767327783.0,-11359115976.0,2309134125721.0,2304408211807.0
Cộng,Tài sản tài chính > Cộng,Cộng,4.056.640.844.902,(16.338.800.658),4.235.973.733.923,(21.233.736.444),4.040.302.044.244,4.214.739.997.479,4056640844902.0,-16338800658.0,4235973733923.0,-21233736444.0,4040302044244.0,4214739997479.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,151.018.583.387,,1.132.277.824.840,,151.018.583.387,1.132.277.824.840,151018583387.0,,1132277824840.0,,151018583387.0,1132277824840.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,109.180.582.806,,241.608.444.279,,109.180.582.806,241.608.444.279,109180582806.0,,241608444279.0,,109180582806.0,241608444279.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,5.020.812.859.008,,3.397.168.026.808,,5.020.812.859.008,3.397.168.026.808,5020812859008.0,,3397168026808.0,,5020812859008.0,3397168026808.0
Phải trả người lao động,Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,4.092.228.715,,3.869.840.851,,4.092.228.715,3.869.840.851,4092228715.0,,3869840851.0,,4092228715.0,3869840851.0
Các khoản phải trả khác,Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,15.602.634.125,,22.868.562.055,,15.602.634.125,22.868.562.055,15602634125.0,,22868562055.0,,15602634125.0,22868562055.0
Cộng,Nợ phải trả tài chính > Cộng,Cộng,5.300.706.888.041,-,4.797.792.698.833,-,5.300.706.888.041,4.797.792.698.833,5300706888041.0,,4797792698833.0,,5300706888041.0,4797792698833.0
