row_label_raw,row_label_full,Số đầu năm,Số đầu năm_1,Số đầu năm_2,An Giang,Đồng Tháp,Địa bàn khác,Tổng cộng,numeric__Số đầu năm_1,numeric__Số đầu năm_2,numeric__An Giang,numeric__Đồng Tháp,numeric__Địa bàn khác,numeric__Tổng cộng
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,5.567.074.266.850,1.730.810.329.807,1.734.424.375.968,9.032.308.972.625,,,5567074266850.0,1730810329807.0,1734424375968.0,9032308972625.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,,
Tổng tài sản,Tài sản không phân bổ > Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,5.567.074.266.850,1.730.810.329.807,1.734.424.375.968,9.032.308.972.625,,,5567074266850.0,1730810329807.0,1734424375968.0,9032308972625.0
Nợ phải trả bộ phận,Tài sản không phân bổ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,258.336.876.190,15.997.674.483,1.321.642.764.320,1.595.977.314.993,,,258336876190.0,15997674483.0,1321642764320.0,1595977314993.0
Nợp phải trả không phân bổ,Tài sản không phân bổ > Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,,,,3.397.168.026.808,,,,,,3397168026808.0
Tổng nợ phải trả,Tài sản không phân bổ > Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,258.336.876.190,15.997.674.483,1.321.642.764.320,4.993.145.341.801,,,258336876190.0,15997674483.0,1321642764320.0,4993145341801.0
b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Điện mặt trời,Bất động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng cộng,,,,,,
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,441.419.583.823,185.994.096.125,16848 374 163,550.202.305.915,2.419.609.854.265,3.614.074.214.291,441419583823.0,185994096125.0,,550202305915.0,2419609854265.0,3614074214291.0
Tài sản bộ phận,Năm nay > Tài sản bộ phận,Tài sản bộ phận,4.155.528.131.488,2.679.146.014.171,118.346.860.192,1.113.221.120.447,1.422.895.114.727,9.489.137.241.025,4155528131488.0,2679146014171.0,118346860192.0,1113221120447.0,1422895114727.0,9489137241025.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm nay > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,1.055.327.769.701,,,,,,1055327769701.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,430.764.189.750,426.749.222.633,28.714.427.458,731.239.587.708,2.143.675.599.638,3.761.143.027.187,430764189750.0,426749222633.0,28714427458.0,731239587708.0,2143675599638.0,3761143027187.0
Tài sản bộ phận,Năm trước > Tài sản bộ phận,Tài sản bộ phận,4.221.073.630.486,1.938.934.803.191,116.581.836.502,1.332.449.871.143,1.423.268.831.303,9.032.308.972.625,4221073630486.0,1938934803191.0,116581836502.0,1332449871143.0,1423268831303.0,9032308972625.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm trước > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,295.609.948.219,,,,,,295609948219.0
