row_label_raw,row_label_full,"Trong năm, Công ty có phát sinh các nghiệp vụ với các bên liên quan. Các nghiệp vụ chủ yếu như sau: > Bên liên quan","Trong năm, Công ty có phát sinh các nghiệp vụ với các bên liên quan. Các nghiệp vụ chủ yếu như sau: > Nội dung nghiệp vụ","Trong năm, Công ty có phát sinh các nghiệp vụ với các bên liên quan. Các nghiệp vụ chủ yếu như sau: > Năm nay","Trong năm, Công ty có phát sinh các nghiệp vụ với các bên liên quan. Các nghiệp vụ chủ yếu như sau: > Năm trước","numeric__Trong năm, Công ty có phát sinh các nghiệp vụ với các bên liên quan. Các nghiệp vụ chủ yếu như sau: > Nội dung nghiệp vụ","numeric__Trong năm, Công ty có phát sinh các nghiệp vụ với các bên liên quan. Các nghiệp vụ chủ yếu như sau: > Năm nay","numeric__Trong năm, Công ty có phát sinh các nghiệp vụ với các bên liên quan. Các nghiệp vụ chủ yếu như sau: > Năm trước"
+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia (Công ty con).,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia (Công ty con).,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia (Công ty con).,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia (Công ty con).,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia (Công ty con).,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia (Công ty con).,,,
,,,1. Bán hàng trong năm:,19.447.148.096,34.150.660.904,,19447148096.0,34150660904.0
,,,- CN QSDĐ KDC Lắp Vò,828.636.000,6.961.863.000,,828636000.0,6961863000.0
,,,- Tòa nhà 12 tầng,18.198.512.096,26.468.797.904,,18198512096.0,26468797904.0
,,,- Thuê đất,420.000.000,720.000.000,,420000000.0,720000000.0
,,,2. Mua hàng trong năm:,114.697.194.910,40.378.810.592,,114697194910.0,40378810592.0
,,,- Cá tra Fillet đồng lạnh,104.880.994.910,16.154.810.592,,104880994910.0,16154810592.0
,,,- Phí ủy thác xuất khẩu cá tra,816.200.000,224.000.000,,816200000.0,224000000.0
,,,"- Phí thuê văn phòng, biển quảng cáo",9.000.000.000,24.000.000.000,,9000000000.0,24000000000.0
,,,3. Vay huy động,509.100.000.000,53.000.000.000,,509100000000.0,53000000000.0
,,,- Vay huy động vốn,509.100.000.000,53.000.000.000,,509100000000.0,53000000000.0
,,,4. Trả tiền trong năm:,267.909.858.209,30.096.328.257,,267909858209.0,30096328257.0
,,,- Lãi vay huy động,18.408.650.466,2.330.738.000,,18408650466.0,2330738000.0
,,,- Lãi vay công trình,,6.266.798.000,,,6266798000.0
,,,- Trả tiền vay,249.501.207.743,21.498.792.257,,249501207743.0,21498792257.0
,,,5. Các khoản khác,300.697.716.728,21.568.152.695,,300697716728.0,21568152695.0
,,,- Ủy thác xuất khẩu cá tra,116.468.482.733,16.841.649.600,,116468482733.0,16841649600.0
,,,- Thu hộ cước vận chuyển,9.310.587.495,4.726.503.095,,9310587495.0,4726503095.0
,,,- Thu tiền cổ tức,174.918.646.500,,,174918646500.0,
+ Công ty Cổ phần Du Lịch An Giang (Công ty con),+ Công ty Cổ phần Du Lịch An Giang (Công ty con),+ Công ty Cổ phần Du Lịch An Giang (Công ty con),+ Công ty Cổ phần Du Lịch An Giang (Công ty con),+ Công ty Cổ phần Du Lịch An Giang (Công ty con),+ Công ty Cổ phần Du Lịch An Giang (Công ty con),,,
,,,1. Mua hàng trong năm:,5.169.383.194,3.880.399.748,,5169383194.0,3880399748.0
,,,"- Dịch vụ nhà hàng, khách sạn...",5.169.383.194,3.880.399.748,,5169383194.0,3880399748.0
,,,2. Vay huy động,,81.000.000.000,,,81000000000.0
,,,- Vay huy động vốn,,81.000.000.000,,,81000000000.0
,,,3. Cho vay huy động:,197.300.000.000,,,197300000000.0,
,,,- Cho vay vốn,197.300.000.000,,,197300000000.0,
,,,4. Thu trong năm:,175.531.876.206,27.000.000.000,,175531876206.0,27000000000.0
,,,- Thu tiền cho vay,171.000.000.000,,,171000000000.0,
,,,- Thu lãi tiền vay,4.531.876.206,,,4531876206.0,
,,,- Mượn tạm,,27.000.000.000,,,27000000000.0
