row_label_raw,row_label_full,"TANG, GIAM TAI SAN CO ĐỊNH THUE TAI CHINH","TANG, GIAM TAI SAN CO ĐỊNH THUE TAI CHINH_1","TANG, GIAM TAI SAN CO ĐỊNH THUE TAI CHINH_2","TANG, GIAM TAI SAN CO ĐỊNH THUE TAI CHINH_3","TANG, GIAM TAI SAN CO ĐỊNH THUE TAI CHINH_4","TANG, GIAM TAI SAN CO ĐỊNH THUE TAI CHINH_5","TANG, GIAM TAI SAN CO ĐỊNH THUE TAI CHINH_6","numeric__TANG, GIAM TAI SAN CO ĐỊNH THUE TAI CHINH_1","numeric__TANG, GIAM TAI SAN CO ĐỊNH THUE TAI CHINH_2","numeric__TANG, GIAM TAI SAN CO ĐỊNH THUE TAI CHINH_3","numeric__TANG, GIAM TAI SAN CO ĐỊNH THUE TAI CHINH_4","numeric__TANG, GIAM TAI SAN CO ĐỊNH THUE TAI CHINH_5","numeric__TANG, GIAM TAI SAN CO ĐỊNH THUE TAI CHINH_6"
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị quản lý,TSCĐ khác,Cộng,,,,,,
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,,4.544.451.000,,,,4.544.451.000,,4544451000.0,,,,4544451000.0
2. Số tăng trong năm - Mua trong năm - Tăng khác,2. Số tăng trong năm - Mua trong năm - Tăng khác,2. Số tăng trong năm - Mua trong năm - Tăng khác,,,,,,,,,,,,
3. Số giảm trong năm - Trà lại TSCĐ thuê tài chính - Giảm khác,2. Số tăng trong năm - Mua trong năm - Tăng khác > 3. Số giảm trong năm - Trà lại TSCĐ thuê tài chính - Giảm khác,3. Số giảm trong năm - Trà lại TSCĐ thuê tài chính - Giảm khác,,4.544.451.000,,,,4.544.451.000,,4544451000.0,,,,4544451000.0
3. Số giảm trong năm - Trà lại TSCĐ thuê tài chính - Giảm khác,2. Số tăng trong năm - Mua trong năm - Tăng khác > 3. Số giảm trong năm - Trà lại TSCĐ thuê tài chính - Giảm khác,3. Số giảm trong năm - Trà lại TSCĐ thuê tài chính - Giảm khác,,4.544.451.000,,,,4.544.451.000,,4544451000.0,,,,4544451000.0
4. Số dư cuối năm,4. Số dư cuối năm,4. Số dư cuối năm,,,,,,,,,,,,
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,,
1. Số dư đầu năm,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu năm,1. Số dư đầu năm,,1.855.650.825,,,,1.855.650.825,,1855650825.0,,,,1855650825.0
2. Khấu hao trong năm - Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong năm - Khấu hao trong năm,2. Khấu hao trong năm - Khấu hao trong năm,,450.780.220,,,,450.780.220,,450780220.0,,,,450780220.0
2. Khấu hao trong năm - Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong năm - Khấu hao trong năm,2. Khấu hao trong năm - Khấu hao trong năm,,450.780.220,,,,450.780.220,,450780220.0,,,,450780220.0
3. Giảm trong năm - Trà lại TSCĐ thuê tài chính - Giảm khác,II. Giá trị hao mòn luỹ kế > 3. Giảm trong năm - Trà lại TSCĐ thuê tài chính - Giảm khác,3. Giảm trong năm - Trà lại TSCĐ thuê tài chính - Giảm khác,,2.306.431.045,,,,2.306.431.045,,2306431045.0,,,,2306431045.0
3. Giảm trong năm - Trà lại TSCĐ thuê tài chính - Giảm khác,II. Giá trị hao mòn luỹ kế > 3. Giảm trong năm - Trà lại TSCĐ thuê tài chính - Giảm khác,3. Giảm trong năm - Trà lại TSCĐ thuê tài chính - Giảm khác,,2.306.431.045,,,,2.306.431.045,,2306431045.0,,,,2306431045.0
4. Số dư cuối năm,4. Số dư cuối năm,4. Số dư cuối năm,,,,,,,,,,,,
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,,2.688.800.175,,,,2.688.800.175,,2688800175.0,,,,2688800175.0
2. Tại ngày cuối năm,2. Tại ngày cuối năm,2. Tại ngày cuối năm,,,,,,,,,,,,
