row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,151.018.583.387,151.018.583.387,360.936.003.603,360.936.003.603,151018583387.0,151018583387.0,360936003603.0,360936003603.0
Phải trả từ chuyển nhượng bất động sản,Phải trả từ chuyển nhượng bất động sản,Phải trả từ chuyển nhượng bất động sản,280.303.000,280.303.000,663.342.268,663.342.268,280303000.0,280303000.0,663342268.0,663342268.0
Phải trả từ xây dựng công trình,Phải trả từ xây dựng công trình,Phải trả từ xây dựng công trình,31.926.051.754,31.926.051.754,64.032.383.570,64.032.383.570,31926051754.0,31926051754.0,64032383570.0,64032383570.0
Phải trả từ sản xuất và thương mại,Phải trả từ sản xuất và thương mại,Phải trả từ sản xuất và thương mại,93.325.020.208,93.325.020.208,231.158.340.165,231.158.340.165,93325020208.0,93325020208.0,231158340165.0,231158340165.0
Phải trả từ cung cấp điện năng lượng mặt trời,Phải trả từ cung cấp điện năng lượng mặt trời,Phải trả từ cung cấp điện năng lượng mặt trời,25.349.008.285,25.349.008.285,64.600.633.932,64.600.633.932,25349008285.0,25349008285.0,64600633932.0,64600633932.0
"Phải trả từ dịch vụ du lịch, nhà hàng và khách sạn","Phải trả từ dịch vụ du lịch, nhà hàng và khách sạn","Phải trả từ dịch vụ du lịch, nhà hàng và khách sạn",,,95.579.980,95.579.980,,,95579980.0,95579980.0
Phải trả khác,Phải trả khác,Phải trả khác,138.200.140,138.200.140,385.723.688,385.723.688,138200140.0,138200140.0,385723688.0,385723688.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,771.341.821.237,771.341.821.237,,,771341821237.0,771341821237.0
Phải trả từ cung cấp điện năng lượng mặt trời,Phải trả từ cung cấp điện năng lượng mặt trời,Phải trả từ cung cấp điện năng lượng mặt trời,,,771.341.821.237,771.341.821.237,,,771341821237.0,771341821237.0
Cộng,Cộng,Cộng,151.018.583.387,151.018.583.387,1.132.277.824.840,1.132.277.824.840,151018583387.0,151018583387.0,1132277824840.0,1132277824840.0
