row_label_raw,row_label_full,b) Vay dài hạn,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
,,,2.885.285.921.170,2.881.149.557.533,2.115.617.034.000,1.622.494.100.153,2.392.162.987.323,2.392.162.987.323,2885285921170.0,2881149557533.0,2115617034000.0,1622494100153.0,2392162987323.0,2392162987323.0
Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,1.481.998.098.474,1.477.861.734.837,2.085.846.034.000,1.256.415.630.551,652.567.695.025,652.567.695.025,1481998098474.0,1477861734837.0,2085846034000.0,1256415630551.0,652567695025.0,652567695025.0
Bên khác,Bên khác,Bên khác,937.915.068.170,937.915.068.170,1.158.646.034.000,790.698.660.855,569.967.695.025,569.967.695.025,937915068170.0,937915068170.0,1158646034000.0,790698660855.0,569967695025.0,569967695025.0
- Ngân Hàng Công Thương - CN Đông - Hà Nội,- Ngân Hàng Công Thương - CN Đông - Hà Nội,- Ngân Hàng Công Thương - CN Đông - Hà Nội,121.235.000.000,121.235.000.000,121.235.000.000,,,,121235000000.0,121235000000.0,121235000000.0,,,
- Đối tượng khác,- Đối tượng khác,- Đối tượng khác,816.680.068.170,816.680.068.170,1.037.411.034.000,790.698.660.855,569.967.695.025,569.967.695.025,816680068170.0,816680068170.0,1037411034000.0,790698660855.0,569967695025.0,569967695025.0
Bên liên quan,Bên liên quan,Bên liên quan,544.083.030.304,539.946.666.667,927.200.000.000,465.716.969.696,82.600.000.000,82.600.000.000,544083030304.0,539946666667.0,927200000000.0,465716969696.0,82600000000.0,82600000000.0
- Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,- Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,- Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,43.300.000.000,43.300.000.000,169.300.000.000,126.000.000.000,,,43300000000.0,43300000000.0,169300000000.0,126000000000.0,,
- Công ty Cổ phần ĐT TC & Truyền Thông Quốc Tế,- Công ty Cổ phần ĐT TC & Truyền Thông Quốc Tế,- Công ty Cổ phần ĐT TC & Truyền Thông Quốc Tế,3.454.545.455,,3.300.000.000,4.145.454.545,4.300.000.000,4.300.000.000,3454545455.0,,3300000000.0,4145454545.0,4300000000.0,4300000000.0
- Công ty Cổ phần Du Lịch Đồng Tháp,- Công ty Cổ phần Du Lịch Đồng Tháp,- Công ty Cổ phần Du Lịch Đồng Tháp,681.818.182,,3.500.000.000,2.818.181.818,,,681818182.0,,3500000000.0,2818181818.0,,
- Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,- Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,- Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,52.130.000.000,52.130.000.000,52.500.000.000,74.170.000.000,73.800.000.000,73.800.000.000,52130000000.0,52130000000.0,52500000000.0,74170000000.0,73800000000.0,73800000000.0
- Công ty TNHH Sao Mai Super Feed,- Công ty TNHH Sao Mai Super Feed,- Công ty TNHH Sao Mai Super Feed,144.416.666.667,144.416.666.667,185.000.000.000,40.583.333.333,,,144416666667.0,144416666667.0,185000000000.0,40583333333.0,,
- Công ty TNHH TM Sao Mai Solar,- Công ty TNHH TM Sao Mai Solar,- Công ty TNHH TM Sao Mai Solar,9.000.000.000,9.000.000.000,4.500.000.000,,4.500.000.000,4.500.000.000,9000000000.0,9000000000.0,4500000000.0,,4500000000.0,4500000000.0
- Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,- Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,- Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,291.100.000.000,291.100.000.000,509.100.000.000,218.000.000.000,,,291100000000.0,291100000000.0,509100000000.0,218000000000.0,,
Trên 5 năm,Trên 5 năm,Trên 5 năm,1.403.287.822.696,1.403.287.822.696,29.771.000.000,366.078.469.602,1.739.595.292.298,1.739.595.292.298,1403287822696.0,1403287822696.0,29771000000.0,366078469602.0,1739595292298.0,1739595292298.0
- Ngân hàng TMCP Phát Triển Tp HCM,- Ngân hàng TMCP Phát Triển Tp HCM,- Ngân hàng TMCP Phát Triển Tp HCM,1.403.287.822.696,1.403.287.822.696,29.771.000.000,366.078.469.602,1.739.595.292.298,1.739.595.292.298,1403287822696.0,1403287822696.0,29771000000.0,366078469602.0,1739595292298.0,1739595292298.0
Cộng,Cộng,Cộng,4.715.021.085.602,4.710.884.721.965,6.271.711.827.613,4.953.058.959.583,3.396.368.217.572,3.396.368.217.572,4715021085602.0,4710884721965.0,6271711827613.0,4953058959583.0,3396368217572.0,3396368217572.0
