row_label_raw,row_label_full,20.5. Các quỹ của công ty:,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,94.099.684.648,86.099.684.648,94099684648.0,86099684648.0
Quỹ hỗ trợ sắp xếp doanh nghiệp,Quỹ hỗ trợ sắp xếp doanh nghiệp,Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,
Quỹ khác thuộc vốn chủ sở hữu,Quỹ hỗ trợ sắp xếp doanh nghiệp > Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,4.971.647.795,4.971.647.795,4971647795.0,4971647795.0
