row_label_raw,row_label_full,col_0,TÀI SẢN,MS,TM,31/12/2025VND,01/01/2025VND,numeric__TÀI SẢN,numeric__MS,numeric__TM,numeric__31/12/2025VND,numeric__01/01/2025VND
A -,A -,A -,TÀI SẢN NGĂN HẠN(100=110+120+130+140+150),100,,4.101.826.489.619,4.557.686.747.675,,100.0,,4101826489619.0,4557686747675.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5.1,311.751.464.999,960.913.098,,110.0,51.0,311751464999.0,960913098.0
1.,1.,1.,Tiền,111,,311.751.464.999,960.913.098,,111.0,,311751464999.0,960913098.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,6.963.262.478,6.702.747.100,,120.0,,6963262478.0,6702747100.0
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,5.2,6.963.262.478,6.702.747.100,,123.0,52.0,6963262478.0,6702747100.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,1.934.781.637.818,2.256.330.473.372,,130.0,,1934781637818.0,2256330473372.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,5.3,67.738.034.875,71.618.547.177,,131.0,53.0,67738034875.0,71618547177.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,5.4,1.110.451.489.200,1.009.915.234.048,,132.0,54.0,1110451489200.0,1009915234048.0
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,5.5,41.768.887.000,252.942.712.000,,135.0,55.0,41768887000.0,252942712000.0
6.,6.,6.,Phải thu ngắn hạn khác,136,5.6,818.317.906.744,1.010.348.660.148,,136.0,56.0,818317906744.0,1010348660148.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,5.7,(103.494.680.001),(88.494.680.001),,137.0,57.0,-103494680001.0,-88494680001.0
IV.,IV.,IV.,Hàng tồn kho,140,5.8,1.829.557.204.944,2.282.303.880.189,,140.0,58.0,1829557204944.0,2282303880189.0
1.,1.,1.,Hàng tồn kho,141,,1.829.557.204.944,2.282.303.880.189,,141.0,,1829557204944.0,2282303880189.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,18.772.919.380,11.388.733.916,,150.0,,18772919380.0,11388733916.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,5.9,6.595.826.657,2.352.181.362,,151.0,59.0,6595826657.0,2352181362.0
2.,2.,2.,Thuế GTGT được khấu trừ,152,,12.177.092.723,9.036.552.554,,152.0,,12177092723.0,9036552554.0
B -,B -,B -,TÀI SẢN DÀI HẠN(200=210+220+230+240+250+260),200,,4.188.482.683.837,3.790.926.743.515,,200.0,,4188482683837.0,3790926743515.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,646.416.351.694,250.716.248.117,,210.0,,646416351694.0,250716248117.0
5.,5.,5.,Phải thu về cho vay dài hạn,215,5.5,126.683.215.148,146.468.248.117,,215.0,55.0,126683215148.0,146468248117.0
6.,6.,6.,Phải thu dài hạn khác,216,5.6,519.733.136.546,104.248.000.000,,216.0,56.0,519733136546.0,104248000000.0
II.,II.,II.,Tài sản cố định,220,,1.116.678.932,549.187.551,,220.0,,1116678932.0,549187551.0
1.,1.,1.,Tài sản cố định hữu hình,221,5.10,1.116.678.932,549.187.551,,221.0,510.0,1116678932.0,549187551.0
,,,- Nguyên giá,222,,15.665.585.513,14.806.516.422,,222.0,,15665585513.0,14806516422.0
,,,- Giá trị hao mòn lũy kế,223,,(14.548.906.581),(14.257.328.871),,223.0,,-14548906581.0,-14257328871.0
3.,3.,3.,Tài sản cố định vô hình,227,5.11,,,,227.0,511.0,,
,,,- Nguyên giá,228,,30.000.000,30.000.000,,228.0,,30000000.0,30000000.0
,,,- Giá trị hao mòn lũy kế,229,,(30.000.000),(30.000.000),,229.0,,-30000000.0,-30000000.0
III.,III.,III.,Bất động sản đầu tư,230,5.12,416.896.642.636,428.254.121.008,,230.0,512.0,416896642636.0,428254121008.0
1.,1.,1.,Nguyên giá,231,,521.621.798.713,521.621.798.713,,231.0,,521621798713.0,521621798713.0
2.,2.,2.,Giá trị hao mòn lũy kế,232,,(104.725.156.077),(93.367.677.705),,232.0,,-104725156077.0,-93367677705.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,,9.274.527.273,,240.0,,,9274527273.0
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,5.13,,9.274.527.273,,242.0,513.0,,9274527273.0
V.,V.,V.,Các khoản đầu tư tài chính dài hạn,250,5.14,3.117.631.896.926,3.090.056.066.926,,250.0,514.0,3117631896926.0,3090056066926.0
1.,1.,1.,Đầu tư vào công ty con,251,,3.004.167.830.000,3.003.792.000.000,,251.0,,3004167830000.0,3003792000000.0
2.,2.,2.,"Đầu tư vào công ty liên kết, liên doanh",252,,83.146.786.097,55.946.786.097,,252.0,,83146786097.0,55946786097.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,30.317.280.829,30.317.280.829,,253.0,,30317280829.0,30317280829.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,6.421.113.649,12.076.592.640,,260.0,,6421113649.0,12076592640.0
1.,1.,1.,Chi phí trả trước dài hạn,261,5.9,6.421.113.649,12.076.592.640,,261.0,59.0,6421113649.0,12076592640.0
TỔNG CỘNG TÀI SẢN(270 = 100+200),TỔNG CỘNG TÀI SẢN(270 = 100+200),TỔNG CỘNG TÀI SẢN(270 = 100+200),TỔNG CỘNG TÀI SẢN(270 = 100+200),270,,8.290.309.173.456,8.348.613.491.190,,270.0,,8290309173456.0,8348613491190.0
