row_label_raw,row_label_full,Stt,Tên đơn vị nhận đầu tư,Tổng vốn điều lệ của đơn vị nhận đầu tư,Số tiền,Tỷ lệ,Cam kết góp vốn tại 31/12/2025,numeric__Tên đơn vị nhận đầu tư,numeric__Tổng vốn điều lệ của đơn vị nhận đầu tư,numeric__Số tiền,numeric__Tỷ lệ,numeric__Cam kết góp vốn tại 31/12/2025
1,1,1,Công ty Cổ phần Tư vấn Đầu tư và Quy hoạch Quốc tế OPAL,5.000.000.000,3.250.000.000,65%,2.690.370.000,,5000000000.0,3250000000.0,0.65,2690370000.0
2,2,2,Công ty TNHH Maipha PENINSULA,510.000.000.000,357.000.000.000,70%,158.891.800.000,,510000000000.0,357000000000.0,0.7,158891800000.0
3,3,3,Công ty TNHH BT Hà Đông,350.000.000.000,175.000.000.000,50%,119.053.213.903,,350000000000.0,175000000000.0,0.5,119053213903.0
,,,Tổng,,535.250.000.000,,280.635.383.903,,,535250000000.0,,280635383903.0
