row_label_raw,row_label_full,col_0,"Máy móc,thiết bị","Phương tiện vântải, truyền dẫn","Thiết bị,dụng cụ quản lý",Tổng,"numeric__Máy móc,thiết bị","numeric__Phương tiện vântải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư tại 01/01/2025,NGUYÊN GIÁ > Số dư tại 01/01/2025,Số dư tại 01/01/2025,284.918.181,12.187.950.909,2.333.647.332,14.806.516.422,284918181.0,12187950909.0,2333647332.0,14806516422.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,859.069.091,-,859.069.091,,859069091.0,,859069091.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,859.069.091,-,859.069.091,,859069091.0,,859069091.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,,,,
Số dư tại 31/12/2025,Giảm trong năm > Số dư tại 31/12/2025,Số dư tại 31/12/2025,284.918.181,13.047.020.000,2.333.647.332,15.665.585.513,284918181.0,13047020000.0,2333647332.0,15665585513.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư tại 01/01/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2025,Số dư tại 01/01/2025,284.918.181,11.709.300.158,2.263.110.532,14.257.328.871,284918181.0,11709300158.0,2263110532.0,14257328871.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,-,268.700.910,22.876.800,291.577.710,,268700910.0,22876800.0,291577710.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,-,268.700.910,22.876.800,291.577.710,,268700910.0,22876800.0,291577710.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,,,,
Số dư tại 31/12/2025,Giảm trong năm > Số dư tại 31/12/2025,Số dư tại 31/12/2025,284.918.181,11.978.001.068,2.285.987.332,14.548.906.581,284918181.0,11978001068.0,2285987332.0,14548906581.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại 01/01/2025,GIÁ TRỊ CÒN LẠI > Tại 01/01/2025,Tại 01/01/2025,-,478.650.751,70.536.800,549.187.551,,478650751.0,70536800.0,549187551.0
Tại 31/12/2025,GIÁ TRỊ CÒN LẠI > Tại 31/12/2025,Tại 31/12/2025,-,1.069.018.932,47.660.000,1.116.678.932,,1069018932.0,47660000.0,1116678932.0
