row_label_raw,row_label_full,"Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn thanh toán nhưng khó có khả năng thu hồi > Trong đó:",31/12/2025 > Giá gốc > 250.750.921.876 > Quá hạn trên 6 tháng,31/12/2025 > Giá trị có thể thu hồi > 147.256.241.875 > Quá hạn 1-2 năm,01/01/2025 > Giá gốc > 433.494.680.001 > Quá hạn 2-3 năm,01/01/2025 > Giá trị có thể thu hồi > 345.000.000.000 > Quá hạn trên 3 năm,numeric__31/12/2025 > Giá gốc > 250.750.921.876 > Quá hạn trên 6 tháng,numeric__31/12/2025 > Giá trị có thể thu hồi > 147.256.241.875 > Quá hạn 1-2 năm,numeric__01/01/2025 > Giá gốc > 433.494.680.001 > Quá hạn 2-3 năm,numeric__01/01/2025 > Giá trị có thể thu hồi > 345.000.000.000 > Quá hạn trên 3 năm
Xí nghiệp Xây dựng tư nhân số 1 tỉnh Điện Biên,Xí nghiệp Xây dựng tư nhân số 1 tỉnh Điện Biên,Xí nghiệp Xây dựng tư nhân số 1 tỉnh Điện Biên,-,-,-,30.000.000.000,,,,30000000000.0
Công ty Cổ phần Tư vấn Thương mại Dịch vụ Địa ốc Hoàng Quân,Công ty Cổ phần Tư vấn Thương mại Dịch vụ Địa ốc Hoàng Quân,Công ty Cổ phần Tư vấn Thương mại Dịch vụ Địa ốc Hoàng Quân,212.256.241.875,,-,-,212256241875.0,,,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,-,-,-,8.494.680.001,,,,8494680001.0
Tổng,Tổng,Tổng,212.256.241.875,-,-,38.494.680.001,212256241875.0,,,38494680001.0
