row_label_raw,row_label_full,col_0,31/12/2025 > Giá trị,31/12/2025 > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,01/01/2025 > Giá trị,01/01/2025 > Số có khả năng trả nợ,numeric__31/12/2025 > Giá trị,numeric__31/12/2025 > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__01/01/2025 > Giá trị,numeric__01/01/2025 > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.052.277.185.218,1.052.277.185.218,776.911.056.620,1.527.076.082.772,1.802.442.211.370,1.802.442.211.370,1052277185218.0,1052277185218.0,776911056620.0,1527076082772.0,1802442211370.0,1802442211370.0
Vay ngân hàng (1),Vay ngân hàng (1),Vay ngân hàng (1),54.663.953.884,54.663.953.884,101.973.968.811,414.106.544.442,366.796.529.515,366.796.529.515,54663953884.0,54663953884.0,101973968811.0,414106544442.0,366796529515.0,366796529515.0
Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,12.405.261.884,12.405.261.884,59.652.930.811,292.977.974.572,245.730.305.645,245.730.305.645,12405261884.0,12405261884.0,59652930811.0,292977974572.0,245730305645.0,245730305645.0
Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,42.258.692.000,42.258.692.000,42.321.038.000,121.128.569.870,121.066.223.870,121.066.223.870,42258692000.0,42258692000.0,42321038000.0,121128569870.0,121066223870.0,121066223870.0
Trái phiếu ngắn hạn (2),Trái phiếu ngắn hạn (2),Trái phiếu ngắn hạn (2),-,-,-,80.000.000.000,80.000.000.000,80.000.000.000,,,,80000000000.0,80000000000.0,80000000000.0
Trái phiếu dài hạn đến hạn trả (2),Trái phiếu dài hạn đến hạn trả (2),Trái phiếu dài hạn đến hạn trả (2),375.000.000.000,375.000.000.000,731.874.145,425.000.000.000,799.268.125.855,799.268.125.855,375000000000.0,375000000000.0,731874145.0,425000000000.0,799268125855.0,799268125855.0
Công ty cổ phần đầu tư Bất Đông Sản Prime Land (3),Công ty cổ phần đầu tư Bất Đông Sản Prime Land (3),Công ty cổ phần đầu tư Bất Đông Sản Prime Land (3),57.138.000.000,57.138.000.000,57.138.000.000,-,-,-,57138000000.0,57138000000.0,57138000000.0,,,
Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (4),Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (4),Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (4),105.440.563.104,105.440.563.104,-,77.427.638.330,182.868.201.434,182.868.201.434,105440563104.0,105440563104.0,,77427638330.0,182868201434.0,182868201434.0
Vay cá nhân (5),Vay cá nhân (5),Vay cá nhân (5),460.034.668.230,460.034.668.230,617.067.213.664,530.541.900.000,373.509.354.566,373.509.354.566,460034668230.0,460034668230.0,617067213664.0,530541900000.0,373509354566.0,373509354566.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,455.644.443.666,455.644.443.666,399.165.481.606,42.321.038.000,98.800.000.000,98.800.000.000,455644443666.0,455644443666.0,399165481606.0,42321038000.0,98800000000.0,98800000000.0
Vay ngân hàng (1),Vay ngân hàng (1),Vay ngân hàng (1),330.644.443.666,330.644.443.666,274.165.481.606,42.321.038.000,98.800.000.000,98.800.000.000,330644443666.0,330644443666.0,274165481606.0,42321038000.0,98800000000.0,98800000000.0
Trái phiếu (2),Trái phiếu (2),Trái phiếu (2),125.000.000.000,125.000.000.000,125.000.000.000,-,-,-,125000000000.0,125000000000.0,125000000000.0,,,
Tổng,Tổng,Tổng,1.507.921.628.824,1.507.921.628.824,1.176.076.538.226,1.569.397.120.772,1.901.242.211.370,1.991.242.211.370,1507921628824.0,1507921628824.0,1176076538226.0,1569397120772.0,1901242211370.0,1991242211370.0
Trong đó: Vay ngắn hạn các bên liên quan (Chi tiết trình bày tại Thuyết minh số 7.1),Trong đó: Vay ngắn hạn các bên liên quan (Chi tiết trình bày tại Thuyết minh số 7.1),Trong đó: Vay ngắn hạn các bên liên quan (Chi tiết trình bày tại Thuyết minh số 7.1),5.239.000.000,5.239.000.000,,,7.739.000.000,7.739.000.000,5239000000.0,5239000000.0,,,7739000000.0,7739000000.0
