row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND","Phương tiệnvận tải, truyền dẫnVND",Thiết bịvăn phòngVND,CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND","numeric__Phương tiệnvận tải, truyền dẫnVND",numeric__Thiết bịvăn phòngVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
01/01/2024,NGUYÊN GIÁ > 01/01/2024,01/01/2024,29.530.318.726.912,15.893.876.428.692,3.160.591.563.637,125.619.044.010,48.710.405.763.251,29530318726912.0,15893876428692.0,3160591563637.0,125619044010.0,48710405763251.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,294.057.676,323.756.191.647,206.975.135.509,6.169.569.846,537.194.954.678,294057676.0,323756191647.0,206975135509.0,6169569846.0,537194954678.0
- Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,507.947.864.464,126.578.623.129,-,1.790.802.830,636.317.290.423,507947864464.0,126578623129.0,,1790802830.0,636317290423.0
- Nhận tải trợ/biểu tặng,NGUYÊN GIÁ > - Nhận tải trợ/biểu tặng,- Nhận tải trợ/biểu tặng,-,5.375.367.600,-,308.340.000,5.683.707.600,,5375367600.0,,308340000.0,5683707600.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(2.450.288.408),(105.211.882.877),(37.136.132.762),(881.987.768),(145.680.291.815),-2450288408.0,-105211882877.0,-37136132762.0,-881987768.0,-145680291815.0
31/12/2024,NGUYÊN GIÁ > 31/12/2024,31/12/2024,30.036.110.360.644,16.244.374.728.191,3.330.430.566.384,133.005.768.918,49.743.921.424.137,30036110360644.0,16244374728191.0,3330430566384.0,133005768918.0,49743921424137.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,,,
01/01/2024,HAO MÒN LỦY KẾ > 01/01/2024,01/01/2024,(18.884.461.860.375),(13.964.818.364.896),(2.616.577.791.143),(107.514.888.175),(35.573.372.904.589),-18884461860375.0,-13964818364896.0,-2616577791143.0,-107514888175.0,-35573372904589.0
- Khấu hao trong năm,HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,(1.349.545.164.578),(732.086.372.660),(199.624.604.274),(7.281.620.568),(2.288.537.762.080),-1349545164578.0,-732086372660.0,-199624604274.0,-7281620568.0,-2288537762080.0
"- Thanh lý, nhượng bán","HAO MÒN LỦY KẾ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",2.450.288.408,104.415.665.523,37.136.132.762,881.987.768,144.884.074.461,2450288408.0,104415665523.0,37136132762.0,881987768.0,144884074461.0
-Phân loại,HAO MÒN LỦY KẾ > -Phân loại,-Phân loại,89.374.619,(89.374.619),-,-,-,89374619.0,-89374619.0,,,
31/12/2024,HAO MÒN LỦY KẾ > 31/12/2024,31/12/2024,(20.231.467.361.926),(14.592.578.446.652),(2.779.066.262.655),(113.914.520.975),(37.717.026.592.208),-20231467361926.0,-14592578446652.0,-2779066262655.0,-113914520975.0,-37717026592208.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
01/01/2024,GIÁ TRỊ CÒN LẠI > 01/01/2024,01/01/2024,10.645.856.866.537,1.929.058.063.796,544.013.772.494,18.104.155.835,13.137.032.858.662,10645856866537.0,1929058063796.0,544013772494.0,18104155835.0,13137032858662.0
31/12/2024,GIÁ TRỊ CÒN LẠI > 31/12/2024,31/12/2024,9.804.642.998.718,1.651.796.281.539,551.364.303.729,19.091.247.943,12.026.894.831.929,9804642998718.0,1651796281539.0,551364303729.0,19091247943.0,12026894831929.0
