row_label_raw,row_label_full,Chỉ tiêu,Dịch vụ hàng không và phi hàng không VND,Bán hàng VND,Tổng cộng VND,numeric__Dịch vụ hàng không và phi hàng không VND,numeric__Bán hàng VND,numeric__Tổng cộng VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,,,
Doanh thu thuần bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu bộ phận > Doanh thu thuần bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần bán hàng và cung cấp dịch vụ ra bên ngoài,21.348.270.643.814,1.248.330.298.330,22.596.600.942.144,21348270643814.0,1248330298330.0,22596600942144.0
Chi phí bộ phận,Doanh thu bộ phận > Chi phí bộ phận,Chi phí bộ phận,8.120.111.413.833,972.837.830.908,9.092.949.244.741,8120111413833.0,972837830908.0,9092949244741.0
Giá vốn bán hàng,Doanh thu bộ phận > Giá vốn bán hàng,Giá vốn bán hàng,8.120.111.413.833,603.345.534.010,8.723.456.947.843,8120111413833.0,603345534010.0,8723456947843.0
Chi phí bán hàng,Doanh thu bộ phận > Chi phí bán hàng,Chi phí bán hàng,-,369.492.296.898,369.492.296.898,,369492296898.0,369492296898.0
Kết quả kinh doanh theo bộ phận,Doanh thu bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,13.228.159.229.981,275.492.467.422,13.503.651.697.403,13228159229981.0,275492467422.0,13503651697403.0
Các khoản doanh thu và chi phí không phân bổ theo bộ phận,Các khoản doanh thu và chi phí không phân bổ theo bộ phận,Các khoản doanh thu và chi phí không phân bổ theo bộ phận,Các khoản doanh thu và chi phí không phân bổ theo bộ phận,Các khoản doanh thu và chi phí không phân bổ theo bộ phận,Các khoản doanh thu và chi phí không phân bổ theo bộ phận,,,
Chi phí quản lý doanh nghiệp,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,1.043.121.604.218,,,1043121604218.0
Doanh thu hoạt động tài chính,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,1.739.173.190.855,,,1739173190855.0
Chi phí tài chính,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,104.681.773.116,,,104681773116.0
Thu nhập khác,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Thu nhập khác,Thu nhập khác,,,45.404.222.845,,,45404222845.0
Chi phí khác,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Chi phí khác,Chi phí khác,,,11.975.845.548,,,11975845548.0
"Lãi trong Công ty liên doanh, liên kết","Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Lãi trong Công ty liên doanh, liên kết","Lãi trong Công ty liên doanh, liên kết",,,336.332.655.287,,,336332655287.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,2.663.012.289.091,,,2663012289091.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,125.199.596.535,,,125199596535.0
Lợi ích cổ đông không kiểm soát,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,(12.980.969.923),,,-12980969923.0
Lợi nhuận sau thuế thu nhập doanh nghiệp của Công ty mẹ,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Lợi nhuận sau thuế thu nhập doanh nghiệp của Công ty mẹ,Lợi nhuận sau thuế thu nhập doanh nghiệp của Công ty mẹ,,,11.663.589.687.959,,,11663589687959.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
- Lợi nhuận của Tổng Công ty,Trong đó: > - Lợi nhuận của Tổng Công ty,- Lợi nhuận của Tổng Công ty,,,10.420.908.235.040,,,10420908235040.0
"- Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý, khai thác","Trong đó: > - Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý, khai thác","- Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý, khai thác",,,1.242.681.452.919,,,1242681452919.0
Tài sản không phân bổ theo bộ phận,Trong đó: > Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,,,77.281.952.865.563,,,77281952865563.0
Nợ phải trả không phân bổ theo bộ phận,Trong đó: > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,17.241.265.944.151,,,17241265944151.0
