row_label_raw,row_label_full,Ông Vũ Thế Phiệt > Ông Lại Xuân Thanh,Chủ tịch (Bổ nhiệm từ ngày 06/09/2024)- Người đại diện theo pháp luật > Chủ tịch (Miễn nhiệm ngày 01/09/2024),numeric__Chủ tịch (Bổ nhiệm từ ngày 06/09/2024)- Người đại diện theo pháp luật > Chủ tịch (Miễn nhiệm ngày 01/09/2024)
Ông Đào Việt Dũng,Ông Đào Việt Dũng,Ông Đào Việt Dũng,Thành viên,
Bà Lê Thị Diệu Thúy,Bà Lê Thị Diệu Thúy,Bà Lê Thị Diệu Thúy,Thành viên (*),
Ông Lê Văn Khiên,Ông Lê Văn Khiên,Ông Lê Văn Khiên,Thành viên,
Bà Nguyễn Thị Hồng Phượng,Bà Nguyễn Thị Hồng Phượng,Bà Nguyễn Thị Hồng Phượng,Thành viên,
Ông Nguyễn Ngọc Quý,Ông Nguyễn Ngọc Quý,Ông Nguyễn Ngọc Quý,Thành viên,
