row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2024 VND,01/01/2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024 VND,numeric__01/01/2024 VND
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,40.695.103.265.507,42.679.681.080.233,100.0,,40695103265507.0,42679681080233.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,V.1,6.306.598.160.799,2.843.713.782.836,110.0,,6306598160799.0,2843713782836.0
Tiền,Tiền,Tiền,111,,4.475.598.160.799,2.343.713.782.836,111.0,,4475598160799.0,2343713782836.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,1.831.000.000.000,500.000.000.000,112.0,,1831000000000.0,500000000000.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,V.2,20.248.500.000.000,25.895.700.000.000,120.0,,20248500000000.0,25895700000000.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,20.248.500.000.000,25.895.700.000.000,123.0,,20248500000000.0,25895700000000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,12.309.269.849.298,12.672.492.742.004,130.0,,12309269849298.0,12672492742004.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,V.3,10.486.058.757.701,9.031.353.155.831,131.0,,10486058757701.0,9031353155831.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,V.4,4.834.859.212.732,6.374.973.169.640,132.0,,4834859212732.0,6374973169640.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,V.5,651.418.449.049,989.358.609.369,136.0,,651418449049.0,989358609369.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,V.6,(3.663.066.570.184),(3.723.192.192.836),137.0,,-3663066570184.0,-3723192192836.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,V.7,294.169.304.412,468.060.286.710,140.0,,294169304412.0,468060286710.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,294.169.304.412,468.060.286.710,141.0,,294169304412.0,468060286710.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,1.536.565.950.998,799.714.268.683,150.0,,1536565950998.0,799714268683.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,V.8,19.121.827.887,25.087.321.198,151.0,,19121827887.0,25087321198.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,1.512.544.175.408,729.613.419.974,152.0,,1512544175408.0,729613419974.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,V.15,4.899.947.703,45.013.527.511,153.0,,4899947703.0,45013527511.0
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,36.586.849.600.056,24.667.923.276.405,200.0,,36586849600056.0,24667923276405.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,265.501.804.717,265.501.804.717,210.0,,265501804717.0,265501804717.0
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,211,V.3,2.800.000.200,2.800.000.200,211.0,,2800000200.0,2800000200.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,V.5,265.501.804.717,265.501.804.717,216.0,,265501804717.0,265501804717.0
Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,219,V.6,(2.800.000.200),(2.800.000.200),219.0,,-2800000200.0,-2800000200.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,12.039.001.224.337,13.140.335.921.780,220.0,,12039001224337.0,13140335921780.0
