row_label_raw,row_label_full,Thuế giá trị gia tăng,01/01/2024VND > 14.242.039.656,Số phải nộp trong năm VND > 323.557.578.201,Số thực nộp trong năm VND > 317.833.257.612,31/12/2024VND > 19.966.360.245,numeric__01/01/2024VND > 14.242.039.656,numeric__Số phải nộp trong năm VND > 323.557.578.201,numeric__Số thực nộp trong năm VND > 317.833.257.612,numeric__31/12/2024VND > 19.966.360.245
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.808.493.489.888,2.663.012.289.091,2.417.501.594.464,2.054.004.184.515,1808493489888.0,2663012289091.0,2417501594464.0,2054004184515.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.850.005.956,332.227.796.052,253.257.078.198,81.820.723.810,2850005956.0,332227796052.0,253257078198.0,81820723810.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,56.873.360,430.450.120,431.646.840,55.676.640,56873360.0,430450120.0,431646840.0,55676640.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,-,157.099.911.122,152.237.294.930,4.862.616.192,,157099911122.0,152237294930.0,4862616192.0
Thuế báo vệ môi trường,Thuế báo vệ môi trường,Thuế báo vệ môi trường,275.486.201,47.720.624.105,44.573.924.297,3.422.186.009,275486201.0,47720624105.0,44573924297.0,3422186009.0
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,792.326.357,36.315.641.476,33.621.664.585,3.486.303.248,792326357.0,36315641476.0,33621664585.0,3486303248.0
Lệ phí môn bài,Lệ phí môn bài,Lệ phí môn bài,-,28.000.000,28.000.000,-,,28000000.0,28000000.0,
Các khoản phải nộp từ chênh lệch thu chi từ hoạt động khai thác tài sản KCHTHK,Các khoản phải nộp từ chênh lệch thu chi từ hoạt động khai thác tài sản KCHTHK,Các khoản phải nộp từ chênh lệch thu chi từ hoạt động khai thác tài sản KCHTHK,1.231.678.913.162,1.242.681.452.919,1.250.000.000.000,1.224.360.366.081,1231678913162.0,1242681452919.0,1250000000000.0,1224360366081.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,5.218.562.766,5.218.562.766,-,,5218562766.0,5218562766.0,
Cộng,Cộng,Cộng,3.058.389.134.580,4.808.292.305.852,4.474.703.023.692,3.391.978.416.740,3058389134580.0,4808292305852.0,4474703023692.0,3391978416740.0
b. Thuế và các khoản phải thu,b. Thuế và các khoản phải thu,b. Thuế và các khoản phải thu,b. Thuế và các khoản phải thu,b. Thuế và các khoản phải thu,b. Thuế và các khoản phải thu,b. Thuế và các khoản phải thu,,,,
,,,01/01/2024VND,Số phải thu trong năm VND,Số đã thu trong năm VND,31/12/2024VND,,,,
Thuế giá trị gia tăng,b. Thuế và các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.386.495.401,443.009.269,1.382.546.384,446.958.286,1386495401.0,443009269.0,1382546384.0,446958286.0
Thuế thu nhập doanh nghiệp,b. Thuế và các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,628.979.666,-,-,628.979.666,628979666.0,,,628979666.0
Thuế thu nhập cá nhân,b. Thuế và các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,36.276.475.701,-,36.077.239.526,199.236.175,36276475701.0,,36077239526.0,199236175.0
Thuế nhà đất và tiền thuê đất,b. Thuế và các khoản phải thu > Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,6.716.514.337,-,3.095.781.361,3.620.732.976,6716514337.0,,3095781361.0,3620732976.0
Thuế nhà thầu,b. Thuế và các khoản phải thu > Thuế nhà thầu,Thuế nhà thầu,1.021.806,-,1.021.806,-,1021806.0,,1021806.0,
Lệ phí môn bài,b. Thuế và các khoản phải thu > Lệ phí môn bài,Lệ phí môn bài,4.040.600,-,-,4.040.600,4040600.0,,,4040600.0
Cộng,b. Thuế và các khoản phải thu > Cộng,Cộng,45.013.527.511,443.009.269,40.556.589.077,4.899.947.703,45013527511.0,443009269.0,40556589077.0,4899947703.0
