row_label_raw,row_label_full,Khoản mục > 01/01/2023 > - Lãi trong năm,Vốn góp của chủ sở hữu VND > 21.771.732.360.000 > -,Thặng dư vốn cổ phần VND > 14.602.790.587 > -,Cổ phiếu quỹ VND > (2.918.680.000) > -,Quỹ đầu tư phát triển VND > 6.034.593.641.645 > -,Lợi nhuận sau thuế chưa phân phối VND > 16.041.380.825.681 > 7.222.286.069.558,Lợi ích cổ đông không kiểm soát VND > 47.524.433.302 > 10.004.322.035,Tổng cộng VND > 43.906.915.371.215 > 7.232.290.391.593,numeric__Vốn góp của chủ sở hữu VND > 21.771.732.360.000 > -,numeric__Thặng dư vốn cổ phần VND > 14.602.790.587 > -,numeric__Cổ phiếu quỹ VND > (2.918.680.000) > -,numeric__Quỹ đầu tư phát triển VND > 6.034.593.641.645 > -,numeric__Lợi nhuận sau thuế chưa phân phối VND > 16.041.380.825.681 > 7.222.286.069.558,numeric__Lợi ích cổ đông không kiểm soát VND > 47.524.433.302 > 10.004.322.035,numeric__Tổng cộng VND > 43.906.915.371.215 > 7.232.290.391.593
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,-,-,-,(2.000.000.000),(2.000.000.000),,,,,,-2000000000.0,-2000000000.0
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,-,(718.486.306.678),(2.246.271.118),(720.732.577.796),,,,,-718486306678.0,-2246271118.0,-720732577796.0
- Trích lập quỹ thưởng ban điều hành Công ty,- Trích lập quỹ thưởng ban điều hành Công ty,- Trích lập quỹ thưởng ban điều hành Công ty,-,-,-,-,(2.829.352.500),-,(2.829.352.500),,,,,-2829352500.0,,-2829352500.0
31/12/2023,31/12/2023,31/12/2023,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,22.542.351.236.061,53.282.484.219,50.413.643.832.512,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,22542351236061.0,53282484219.0,50413643832512.0
01/01/2024,01/01/2024,01/01/2024,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,22.542.351.236.061,53.282.484.219,50.413.643.832.512,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,22542351236061.0,53282484219.0,50413643832512.0
- Lãi trong năm,- Lãi trong năm,- Lãi trong năm,-,-,-,-,10.420.908.235.040,12.980.969.923,10.433.889.204.963,,,,,10420908235040.0,12980969923.0,10433889204963.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,-,-,-,(7.200.000.000),(7.200.000.000),,,,,,-7200000000.0,-7200000000.0
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,-,(793.831.910.918),(2.672.873.945),(796.504.784.863),,,,,-793831910918.0,-2672873945.0,-796504784863.0
- Trích lập quỹ thưởng ban điều hành Công ty,- Trích lập quỹ thưởng ban điều hành Công ty,- Trích lập quỹ thưởng ban điều hành Công ty,-,-,-,-,(3.141.331.200),-,(3.141.331.200),,,,,-3141331200.0,,-3141331200.0
31/12/2024,31/12/2024,31/12/2024,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,32.166.286.228.983,56.390.580.197,60.040.686.921.412,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,32166286228983.0,56390580197.0,60040686921412.0
