row_label_raw,row_label_full,Giá trị hợp đồng dự án xây dựng cơ bản chủ yếu còn đang thực hiện,31/12/2024VND > 83.915.121.328.243,01/01/2024VND > 60.471.593.250.191,numeric__31/12/2024VND > 83.915.121.328.243,numeric__01/01/2024VND > 60.471.593.250.191
Cộng,Cộng,Cộng,83.915.121.328.243,60.471.593.250.191,83915121328243.0,60471593250191.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Giá trị khối lượng hoàn thành,Trong đó: > Giá trị khối lượng hoàn thành,Giá trị khối lượng hoàn thành,20.033.406.833.260,7.808.157.744.391,20033406833260.0,7808157744391.0
