row_label_raw,row_label_full,Trong vòng một năm > Trong năm thứ hai > Từ năm thứ ba đến năm thứ năm > Trên năm năm,31/12/2024VND > 395.932.592.937 > 1.187.797.778.811 > 7.762.525.697.752,01/01/2024VND > 410.420.912.532 > 1.231.262.737.596 > 8.404.347.870.566,numeric__31/12/2024VND > 395.932.592.937 > 1.187.797.778.811 > 7.762.525.697.752,numeric__01/01/2024VND > 410.420.912.532 > 1.231.262.737.596 > 8.404.347.870.566
Cộng,Cộng,Cộng,9.742.188.662.437,10.456.452.433.226,9742188662437.0,10456452433226.0
Trừ số vay dài hạn phải trả trong vòng12 tháng,Trừ số vay dài hạn phải trả trong vòng12 tháng,Trừ số vay dài hạn phải trả trong vòng12 tháng,395.932.592.937,410.420.912.532,395932592937.0,410420912532.0
Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,9.346.256.069.500,10.046.031.520.694,9346256069500.0,10046031520694.0
