row_label_raw,row_label_full,31/12/2024 > Giá trịVND,31/12/2024 > Số có khả năngtrả nợVND,01/01/2024 > Giá trịVND,01/01/2024 > Số có khả năngtrả nợVND,numeric__31/12/2024 > Số có khả năngtrả nợVND,numeric__01/01/2024 > Giá trịVND,numeric__01/01/2024 > Số có khả năngtrả nợVND
7.909.090.273,7.909.090.273,7.909.090.273,7.909.090.273,8.718.447.343,8.718.447.343,7909090273.0,8718447343.0,8718447343.0
5.091.784.600,5.091.784.600,5.091.784.600,5.091.784.600,4.107.352.236,4.107.352.236,5091784600.0,4107352236.0,4107352236.0
2.629.015.264,2.629.015.264,2.629.015.264,2.629.015.264,3.561.793.468,3.561.793.468,2629015264.0,3561793468.0,3561793468.0
169.474.495,169.474.495,169.474.495,169.474.495,1.002.105.640,1.002.105.640,169474495.0,1002105640.0,1002105640.0
14.128.362,14.128.362,14.128.362,14.128.362,47.195.999,47.195.999,14128362.0,47195999.0,47195999.0
4.687.552,4.687.552,4.687.552,4.687.552,-,-,4687552.0,,
1.676.846.736.273,1.676.846.736.273,1.676.846.736.273,1.676.846.736.273,1.179.473.320.963,1.179.473.320.963,1676846736273.0,1179473320963.0,1179473320963.0
288.560.309.500,288.560.309.500,288.560.309.500,288.560.309.500,1.791.728.000,1.791.728.000,288560309500.0,1791728000.0,1791728000.0
230.214.721.362,230.214.721.362,230.214.721.362,230.214.721.362,-,-,230214721362.0,,
45.079.678.540,45.079.678.540,45.079.678.540,45.079.678.540,149.358.889.577,149.358.889.577,45079678540.0,149358889577.0,149358889577.0
2.340.640.748,2.340.640.748,2.340.640.748,2.340.640.748,204.386.925.518,204.386.925.518,2340640748.0,204386925518.0,204386925518.0
1.110.651.386.123,1.110.651.386.123,1.110.651.386.123,1.110.651.386.123,823.935.777.868,823.935.777.868,1110651386123.0,823935777868.0,823935777868.0
1.684.755.826.546,1.684.755.826.546,1.684.755.826.546,1.684.755.826.546,1.188.191.768.306,1.188.191.768.306,1684755826546.0,1188191768306.0,1188191768306.0
