row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Vốn đầu tưXDCB vàmua sắm TSCĐTriệu VND,Thặng dư vốn cổ phầnTriệu VND,Cổ phiếuquỹTriệu VND,Quỹ dự trữbổ sungvốn điều lệTriệu VND,Quỹ dựphòng tài chínhTriệu VND,Quỹ đầu tưphát triểnTriệu VND,Lợi nhuậnchưa phân phốiTriệu VND,TổngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Vốn đầu tưXDCB vàmua sắm TSCĐTriệu VND,numeric__Thặng dư vốn cổ phầnTriệu VND,numeric__Cổ phiếuquỹTriệu VND,numeric__Quỹ dự trữbổ sungvốn điều lệTriệu VND,numeric__Quỹ dựphòng tài chínhTriệu VND,numeric__Quỹ đầu tưphát triểnTriệu VND,numeric__Lợi nhuậnchưa phân phốiTriệu VND,numeric__TổngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,12.355.229,15.396,156.322,(78.273),540.631,1.039.201,326,182.757,14.211.589,12355229.0,15396.0,156322.0,-78273.0,540631.0,1039201.0,326.0,182757.0,14211589.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,638.893,638.893,,,,,,,,638893.0,638893.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,31.945,63.889,-,(95.834),-,,,,,31945.0,63889.0,,-95834.0,
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,-,(53),-,-,(53),,,,,,-53.0,,,-53.0
Trích lập quỹ khen thưởng vàphúc lợi,Trích lập quỹ khen thưởng vàphúc lợi,Trích lập quỹ khen thưởng vàphúc lợi,-,-,-,-,-,-,-,(57.000),(57.000),,,,,,,,-57000.0,-57000.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,316,-,28.500,28.816,,,,,,316.0,,28500.0,28816.0
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,12.355.229,15.396,156.322,(78.273),572.576,1.103.353,326,697.316,14.822.245,12355229.0,15396.0,156322.0,-78273.0,572576.0,1103353.0,326.0,697316.0,14822245.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,852.920,852.920,,,,,,,,852920.0,852920.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,42.646,85.292,-,(127.938),-,,,,,42646.0,85292.0,,-127938.0,
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,-,(354),-,-,(354),,,,,,-354.0,,,-354.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,12.355.229,15.396,156.322,(78.273),615.222,1.188.291,326,1.422.298,15.674.811,12355229.0,15396.0,156322.0,-78273.0,615222.0,1188291.0,326.0,1422298.0,15674811.0
