row_label_raw,row_label_full,col_0,Khu vực Miền Bắc Triệu VND,Khu vực Miền Trung Triệu VND,Khu vực Miền Nam Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,numeric__Khu vực Miền Bắc Triệu VND,numeric__Khu vực Miền Trung Triệu VND,numeric__Khu vực Miền Nam Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng Triệu VND
III. Doanh thu,III. Doanh thu,III. Doanh thu,III. Doanh thu,III. Doanh thu,III. Doanh thu,III. Doanh thu,III. Doanh thu,,,,,
1. Doanh thu lãiDoanh thu lãi từ khách hàng bên ngoài,III. Doanh thu > 1. Doanh thu lãiDoanh thu lãi từ khách hàng bên ngoài,1. Doanh thu lãiDoanh thu lãi từ khách hàng bên ngoài,1.317.693,1.163.945,7.451.855,-,9.933.493,1317693.0,1163945.0,7451855.0,,9933493.0
Doanh thu lãi nội bộ,III. Doanh thu > Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,1.313.926,595.479,13.314.385,(15.223.790),-,1313926.0,595479.0,13314385.0,-15223790.0,
2. Doanh thu từ hoạt động dịch vụ,III. Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,70.924,32.683,569.132,-,672.739,70924.0,32683.0,569132.0,,672739.0
3. Doanh thu từ hoạt động kinh doanh khác,III. Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,53.827,17.083,1.042.405,-,1.113.315,53827.0,17083.0,1042405.0,,1113315.0
IV. Chi phí,IV. Chi phí,IV. Chi phí,IV. Chi phí,IV. Chi phí,IV. Chi phí,IV. Chi phí,IV. Chi phí,,,,,
1. Chi phí lãiChi phí lãi cho khách hàng bên ngoài,IV. Chi phí > 1. Chi phí lãiChi phí lãi cho khách hàng bên ngoài,1. Chi phí lãiChi phí lãi cho khách hàng bên ngoài,(1.099.087),(500.730),(5.150.560),-,(6.750.377),-1099087.0,-500730.0,-5150560.0,,-6750377.0
Chi phí lãi nội bộ,IV. Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(1.121.111),(984.277),(13.118.402),15.223.790,-,-1121111.0,-984277.0,-13118402.0,15223790.0,
2. Chi phí khấu hao tài sản cố định,IV. Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(19.237),(12.032),(105.718),-,(136.987),-19237.0,-12032.0,-105718.0,,-136987.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,IV. Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(384.208),(199.115),(2.724.350),-,(3.307.673),-384208.0,-199115.0,-2724350.0,,-3307673.0
Kết quả hoạt động kinh doanh trước chi phí dự phòng rủi ro,IV. Chi phí > Kết quả hoạt động kinh doanh trước chi phí dự phòng rủi ro,Kết quả hoạt động kinh doanh trước chi phí dự phòng rủi ro,132.727,113.036,1.278.747,-,1.524.510,132727.0,113036.0,1278747.0,,1524510.0
Chi phí dự phòng rủi ro,IV. Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(293.693),(18.920),(410.933),-,(723.546),-293693.0,-18920.0,-410933.0,,-723546.0
Kết quả kinh doanh bộ phận trước thuế TNDN,IV. Chi phí > Kết quả kinh doanh bộ phận trước thuế TNDN,Kết quả kinh doanh bộ phận trước thuế TNDN,(160.966),94.116,867.814,-,800.964,-160966.0,94116.0,867814.0,,800964.0
