row_label_raw,row_label_full,2019,Số dư đầu năm > Nộp thừaTriệu VND,Số dư đầu năm > Phải trảTriệu VND,Số dư đầu năm > Số phát sinhTriệu VND,Số dư cuối năm > Số đã nộpTriệu VND,Số dư cuối năm > Nộp thừaTriệu VND,Số dư cuối năm > Phải trảTriệu VND,numeric__Số dư đầu năm > Nộp thừaTriệu VND,numeric__Số dư đầu năm > Phải trảTriệu VND,numeric__Số dư đầu năm > Số phát sinhTriệu VND,numeric__Số dư cuối năm > Số đã nộpTriệu VND,numeric__Số dư cuối năm > Nộp thừaTriệu VND,numeric__Số dư cuối năm > Phải trảTriệu VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,65.284,-,226.050,(167.109),6.343,-,65284.0,,226050.0,-167109.0,6343.0,
Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,-,10.025,99.047,(93.904),-,15.168,,10025.0,99047.0,-93904.0,,15168.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,16.394,90.101,(89.488),-,17.007,,16394.0,90101.0,-89488.0,,17007.0
Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,-,14.930,(14.930),-,-,,,14930.0,-14930.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,7.222,(7.222),-,-,,,7222.0,-7222.0,,
,,,65.284,26.419,437.350,(372.653),6.343,32.175,65284.0,26419.0,437350.0,-372653.0,6343.0,32175.0
2018,2018,2018,,Số dưđầu nămTriệu VND,Số phát sinhTriệu VND,Số đã nộpTriệu VND,Số dư cuối năm,Số dư cuối năm,,,,,,
2018,2018,2018,,Số dưđầu nămTriệu VND,Số phát sinhTriệu VND,Số đã nộpTriệu VND,Nộp thừaTriệu VND,Phải trảTriệu VND,,,,,,
Thuế thu nhập doanh nghiệp,2018 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,110.672,162.071,(338.027),65.284,-,,110672.0,162071.0,-338027.0,65284.0,
Thuế giá trị gia tăng phải trả,2018 > Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,,9.988,73.806,(73.769),-,10.025,,9988.0,73806.0,-73769.0,,10025.0
Thuế thu nhập cá nhân,2018 > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,,8.198,75.957,(67.761),-,16.394,,8198.0,75957.0,-67761.0,,16394.0
Thuế nhà thầu nước ngoài,2018 > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,,-,14.320,(14.320),-,-,,,14320.0,-14320.0,,
Các loại thuế khác,2018 > Các loại thuế khác,Các loại thuế khác,,-,5.819,(5.819),-,-,,,5819.0,-5819.0,,
,,,,128.858,331.973,(499.696),65.284,26.419,,128858.0,331973.0,-499696.0,65284.0,26419.0
