row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Quá hạn > Trên 3 tháng Triệu VND,Quá hạn > Đến 3 tháng Triệu VND,Quá hạn > Đến 1 tháng Triệu VND,Quá hạn > Từ trên 1 đến 3 tháng Triệu VND,Trong hạn > Từ trên 3 đến 12 tháng Triệu VND,Trong hạn > Từ trên 1 đến 5 năm Triệu VND,Trong hạn > Trên 5 năm Triệu VND,Trong hạn > Tổng Triệu VND,numeric__Quá hạn > Trên 3 tháng Triệu VND,numeric__Quá hạn > Đến 3 tháng Triệu VND,numeric__Quá hạn > Đến 1 tháng Triệu VND,numeric__Quá hạn > Từ trên 1 đến 3 tháng Triệu VND,numeric__Trong hạn > Từ trên 3 đến 12 tháng Triệu VND,numeric__Trong hạn > Từ trên 1 đến 5 năm Triệu VND,numeric__Trong hạn > Trên 5 năm Triệu VND,numeric__Trong hạn > Tổng Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,-,2.630.273,-,-,-,-,2.630.273,,,2630273.0,,,,,2630273.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,5.737.641,-,-,-,-,5.737.641,,,5737641.0,,,,,5737641.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,-,-,25.419.587,438.010,-,-,-,25.857.597,,,25419587.0,438010.0,,,,25857597.0
Các công cụ tài chính phải sinh và tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,-,-,207.803,-,-,-,-,207.803,,,207803.0,,,,,207803.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),1.933.171,609.993,6.243.840,22.011.002,28.157.469,12.417.973,41.881.344,113.254.792,1933171.0,609993.0,6243840.0,22011002.0,28157469.0,12417973.0,41881344.0,113254792.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,931.437,2.653.620,2.317.668,8.801.212,2.201.929,16.905.866,,,931437.0,2653620.0,2317668.0,8801212.0,2201929.0,16905866.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,300.000,300.000,,,,,,,300000.0,300000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,5,352,20.868,182.192,3.189.385,3.392.802,,,5.0,352.0,20868.0,182192.0,3189385.0,3392802.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,425.716,-,1.620.688,6.287,283.895,997.467,,3.334.053,425716.0,,1620688.0,6287.0,283895.0,997467.0,,3334053.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.358.887,609.993,42.791.274,25.109.271,30.779.900,22.398.844,47.572.658,171.620.827,2358887.0,609993.0,42791274.0,25109271.0,30779900.0,22398844.0,47572658.0,171620827.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,-,23.664,17.815,-,-,41.479,,,,23664.0,17815.0,,,41479.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,6.994.058,1.649.125,-,-,-,8.643.183,,,6994058.0,1649125.0,,,,8643183.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,41.176.581,25.555.817,62.741.843,9.986.857,196,139.461.294,,,41176581.0,25555817.0,62741843.0,9986857.0,196.0,139461294.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,3.513.733,49.186,250.884,125.217,-,3.939.020,,,3513733.0,49186.0,250884.0,125217.0,,3939020.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,51.684.372,27.277.792,63.010.542,10.112.074,196,152.084.976,,,51684372.0,27277792.0,63010542.0,10112074.0,196.0,152084976.0
Mức chênh thanh khoản ròng [(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng [(3)=(1)-(2)],Mức chênh thanh khoản ròng [(3)=(1)-(2)],2.358.887,609.993,(8.893.098),(2.168.521),(32.230.642),12.286.770,47.572.462,19.535.851,2358887.0,609993.0,-8893098.0,-2168521.0,-32230642.0,12286770.0,47572462.0,19535851.0
