row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Quá hạn > Trên 3 thángTriệu VND,Quá hạn > Đến 3 thángTriệu VND,Quá hạn > Đến 1 thángTriệu VND,Trong hạn > Từ trên 1 đến3 thángTriệu VND,Trong hạn > Từ trên 3 đến12 thángTriệu VND,Trong hạn > Từ trên 1 đến5 nămTriệu VND,Trong hạn > Trên 5 nămTriệu VND,Trong hạn > TổngTriệu VND,numeric__Quá hạn > Trên 3 thángTriệu VND,numeric__Quá hạn > Đến 3 thángTriệu VND,numeric__Quá hạn > Đến 1 thángTriệu VND,numeric__Trong hạn > Từ trên 1 đến3 thángTriệu VND,numeric__Trong hạn > Từ trên 3 đến12 thángTriệu VND,numeric__Trong hạn > Từ trên 1 đến5 nămTriệu VND,numeric__Trong hạn > Trên 5 nămTriệu VND,numeric__Trong hạn > TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,-,2.356.196,-,-,-,-,2.356.196,,,2356196.0,,,,,2356196.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,6.412.125,-,-,-,-,6.412.125,,,6412125.0,,,,,6412125.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,-,-,16.556.762,2.494.102,-,-,-,19.050.864,,,16556762.0,2494102.0,,,,19050864.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),1.921.009,626.702,7.965.227,16.117.635,21.547.993,13.136.764,42.727.247,104.042.577,1921009.0,626702.0,7965227.0,16117635.0,21547993.0,13136764.0,42727247.0,104042577.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,247.833,652.139,3.364.043,9.115.914,3.815.267,17.195.196,,,247833.0,652139.0,3364043.0,9115914.0,3815267.0,17195196.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,1.065.566,1.065.566,,,,,,,1065566.0,1065566.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,11,481,5.406,189.812,3.313.599,3.509.309,,,11.0,481.0,5406.0,189812.0,3313599.0,3509309.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,313.894,-,1.561.317,99.067,369.466,1.322.063,-,3.665.807,313894.0,,1561317.0,99067.0,369466.0,1322063.0,,3665807.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.234.903,626.702,35.099.471,19.363.424,25.286.908,23.764.553,50.921.679,157.297.640,2234903.0,626702.0,35099471.0,19363424.0,25286908.0,23764553.0,50921679.0,157297640.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,3.422,24.384,21.521,-,-,49.327,,,3422.0,24384.0,21521.0,,,49327.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,7.095.818,6.470.180,2.445.066,-,-,16.011.064,,,7095818.0,6470180.0,2445066.0,,,16011064.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,37.040.467,29.190.609,40.159.236,13.035.923,281,119.426.516,,,37040467.0,29190609.0,40159236.0,13035923.0,281.0,119426516.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,59.258,-,-,-,-,59.258,,,59258.0,,,,,59258.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.560.372,52.863,423.124,125.460,-,3.161.819,,,2560372.0,52863.0,423124.0,125460.0,,3161819.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,46.759.337,35.738.036,43.048.947,13.161.383,281,138.707.984,,,46759337.0,35738036.0,43048947.0,13161383.0,281.0,138707984.0
Mức chênh thanh khoản ròng [(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng [(3)=(1)-(2)],Mức chênh thanh khoản ròng [(3)=(1)-(2)],2.234.903,626.702,(11.659.866),(16.374.612),(17.762.039),10.603.170,50.921.398,18.589.656,2234903.0,626702.0,-11659866.0,-16374612.0,-17762039.0,10603170.0,50921398.0,18589656.0
