row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2019 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2019 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2019 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2019 > Từ trên 3đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2019 > Từ trên 6đến 12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2019 > Từ trên 1đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2019 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2019 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Từ trên 3đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Từ trên 6đến 12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Từ trên 1đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2019 > TổngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,2.630.273,-,-,-,-,-,-,2.630.273,,2630273.0,,,,,,,2630273.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,5.737.641,-,-,-,-,-,5.737.641,,,5737641.0,,,,,,5737641.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,-,-,25.419.587,438.010,-,-,-,-,25.857.597,,,25419587.0,438010.0,,,,,25857597.0
Các công cụ tài chính phải sinh và tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,-,207.803,-,-,-,-,-,-,207.803,,207803.0,,,,,,,207803.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),2.543.164,-,58.843.267,32.198.278,7.499.050,2.341.353,1.887.584,7.942.096,113.254.792,2543164.0,,58843267.0,32198278.0,7499050.0,2341353.0,1887584.0,7942096.0,113254792.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,4.690.027,675.538,2.653.620,803.668,1.514.000,5.336.115,1.232.898,16.905.866,,4690027.0,675538.0,2653620.0,803668.0,1514000.0,5336115.0,1232898.0,16905866.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,300.000,-,-,-,-,-,-,300.000,,300000.0,,,,,,,300000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.392.802,-,-,-,-,-,-,3.392.802,,3392802.0,,,,,,,3392802.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,425.716,2.908.337,-,-,-,-,-,-,3.334.053,425716.0,2908337.0,,,,,,,3334053.0
