row_label_raw,row_label_full,Ban Tổng Giám đốc,Ban Tổng Giám đốc_1,Ban Tổng Giám đốc_2,numeric__Ban Tổng Giám đốc_1,numeric__Ban Tổng Giám đốc_2
,,,Ông Nguyễn Cảnh Vinh,Quyền Tổng Giám đốc(từ ngày 22 tháng 5 năm 2019),,
,,,Ông Lê Văn Quyết,Tổng Giám đốc(đến ngày 5 tháng 4 năm 2019),,
,,,Ông Nguyễn Cảnh Vinh,Phó Tổng Giám đốc thường trực(đến ngày 22 tháng 5 năm 2019),,
,,,Ông Trần Tấn Lộc,Phó Tổng Giám đốc,,
,,,Ông Đào Hồng Châu,Phó Tổng Giám đốc,,
,,,Bà Đình Thị Thu Thảo,Phó Tổng Giám đốc,,
,,,Bà Văn Thái Bảo Nhi,Phó Tổng Giám đốc,,
,,,Ông Nguyễn Hồ Hoàng Vũ,Phó Tổng Giám đốc kiểmGiám đốc Tài chính,,
,,,Ông Nguyễn Hướng Minh,Phó Tổng Giám đốc,,
,,,Ông Võ Quang Hiền,Phó Tổng Giám đốc(đến ngày 15 tháng 8 năm 2019),,
