row_label_raw,row_label_full,Số dư cuối năm,31/12/2019Triệu VNDPhải thu/(phải trả),31/12/2018Triệu VND,numeric__31/12/2019Triệu VNDPhải thu/(phải trả),numeric__31/12/2018Triệu VND
Công ty con,Công ty con,Công ty con,,,,
Tiền gửi từ công ty con,Công ty con > Tiền gửi từ công ty con,Tiền gửi từ công ty con,(182.830),(732.647),-182830.0,-732647.0
Lãi phải trả công ty con,Công ty con > Lãi phải trả công ty con,Lãi phải trả công ty con,(706),(2.702),-706.0,-2702.0
Đầu tư góp vốn vào công ty con,Công ty con > Đầu tư góp vốn vào công ty con,Đầu tư góp vốn vào công ty con,300.000,955.000,300000.0,955000.0
Phải trả công ty con,Công ty con > Phải trả công ty con,Phải trả công ty con,(116.612),(210.839),-116612.0,-210839.0
Các cổ đông lớn,Các cổ đông lớn,Các cổ đông lớn,,,,
Tiền gửi từ các cổ đông lớn,Các cổ đông lớn > Tiền gửi từ các cổ đông lớn,Tiền gửi từ các cổ đông lớn,(122.793),(1.135.995),-122793.0,-1135995.0
Vay từ các cổ đông lớn là tổ chức,Các cổ đông lớn > Vay từ các cổ đông lớn là tổ chức,Vay từ các cổ đông lớn là tổ chức,(463.500),(638.550),-463500.0,-638550.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Tiền gửi từ các bên liên quan khác,Các bên liên quan khác (*) > Tiền gửi từ các bên liên quan khác,Tiền gửi từ các bên liên quan khác,(186.629),(75.873),-186629.0,-75873.0
Lãi phải trả cho các bên liên quan khác,Các bên liên quan khác (*) > Lãi phải trả cho các bên liên quan khác,Lãi phải trả cho các bên liên quan khác,(2.015),(1.404),-2015.0,-1404.0
Cho các bên liên quan khác vay,Các bên liên quan khác (*) > Cho các bên liên quan khác vay,Cho các bên liên quan khác vay,1.532,1.885,1532.0,1885.0
Lãi phải thu các bên liên quan khác,Các bên liên quan khác (*) > Lãi phải thu các bên liên quan khác,Lãi phải thu các bên liên quan khác,5,5,5.0,5.0
